From;To;Source
cs+class://Microsoft/CodeAnalysis/CompilationReference;cs+class://Microsoft/CodeAnalysis/MetadataReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/MetadataImageReference;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;cs+class://Microsoft/CodeAnalysis/MetadataReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/UnresolvedMetadataReference;cs+class://Microsoft/CodeAnalysis/MetadataReference;(not implemented)
cs+class://Microsoft/Cci/ExceptionHandlerRegionFinally;cs+class://Microsoft/Cci/ExceptionHandlerRegion;(not implemented)
cs+class://Microsoft/Cci/ExceptionHandlerRegionFault;cs+class://Microsoft/Cci/ExceptionHandlerRegion;(not implemented)
cs+class://Microsoft/Cci/ExceptionHandlerRegionCatch;cs+class://Microsoft/Cci/ExceptionHandlerRegion;(not implemented)
cs+class://Microsoft/Cci/ExceptionHandlerRegionFilter;cs+class://Microsoft/Cci/ExceptionHandlerRegion;(not implemented)
cs+class://Microsoft/Cci/FullPeWriter;cs+class://Microsoft/Cci/PeWriter;(not implemented)
cs+class://Microsoft/Cci/FullPeWriter/FullReferenceIndexer;cs+class://Microsoft/Cci/ReferenceIndexer;(not implemented)
cs+class://Microsoft/Cci/PeWriter/HeapOrReferenceIndex[1];cs+class://Microsoft/Cci/PeWriter/HeapOrReferenceIndexBase[1];(not implemented)
cs+class://Microsoft/Cci/PeWriter/InstanceAndStructuralReferenceIndex[1];cs+class://Microsoft/Cci/PeWriter/HeapOrReferenceIndexBase[1];(not implemented)
cs+class://Microsoft/Cci/ReferenceIndexerBase;cs+class://Microsoft/Cci/MetadataVisitor;(not implemented)
cs+class://Microsoft/Cci/ReferenceIndexer;cs+class://Microsoft/Cci/ReferenceIndexerBase;(not implemented)
cs+class://Microsoft/Cci/NoPiaReferenceIndexer;cs+class://Microsoft/Cci/ReferenceIndexerBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/Text/StringText;cs+class://Microsoft/CodeAnalysis/Text/SourceText;(not implemented)
cs+class://Microsoft/CodeAnalysis/CompilerServer/CachingMetadataReference;cs+class://Microsoft/CodeAnalysis/PortableExecutableReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/CommandLine/Csc;cs+class://Microsoft/CodeAnalysis/CSharp/CSharpCompiler;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Binder/QueryUnboundLambdaState;cs+class://Microsoft/CodeAnalysis/CSharp/UnboundLambdaState;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Binder/WithQueryLambdaParametersBinder;cs+class://Microsoft/CodeAnalysis/CSharp/WithLambdaParametersBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Binder/BinderWithContainingMemberOrLambda;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Binder/BinderWithConditionalReceiver;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/BlockBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/BuckStopsHereBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/CatchClauseBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ConstantFieldsInProgressBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ContextualAttributeBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/EarlyWellKnownAttributeBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/EmbeddedStatementBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ExecutableCodeBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/FixedStatementBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ForEachLoopBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LoopBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ForLoopBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LoopBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ForLoopInitializationBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/HostObjectModelBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/IfBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ImplicitlyTypedFieldBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/ImplicitlyTypedLocalBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/InContainerBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/InMethodBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/InteractiveUsingsBinder;cs+class://Microsoft/CodeAnalysis/CSharp/UsingsBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/LocalInProgressBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;cs+class://Microsoft/CodeAnalysis/CSharp/Binder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/LockBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LockOrUsingBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/LockOrUsingBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/LookupSymbolsInfo;cs+class://Microsoft/CodeAnalysis/AbstractLookupSymbolsInfo[1];(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/LoopBinder;cs+class://Microsoft/CodeAnalysis/CSharp/LocalScopeBinder;(not implemented)
