fromType;toType;fromMethod;toMethod;calledFrom
cs+class://NHibernate/Test/Criteria/Lambda/FunctionsIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Criteria/Lambda/SubQueryIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnSetUp();Void OnSetUp();SetUp
cs+class://NHibernate/Test/Criteria/Lambda/SubQueryIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Criteria/Lambda/ProjectIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnSetUp();Void OnSetUp();SetUp
cs+class://NHibernate/Test/Criteria/Lambda/ProjectIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Criteria/Lambda/SimpleIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnSetUp();Void OnSetUp();SetUp
cs+class://NHibernate/Test/Criteria/Lambda/SimpleIntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Criteria/Lambda/IntegrationFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Criteria/ProjectionsTest;cs+class://NHibernate/Test/TestCase;Void OnSetUp();Void OnSetUp();SetUp
cs+class://NHibernate/Test/Criteria/ProjectionsTest;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/DriverTest/Sql2008DateTime2Test;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureSetUp
cs+class://NHibernate/Test/DriverTest/Sql2008DateTime2Test;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureTearDown
cs+class://NHibernate/Test/DriverTest/Sql2008DateTime2Test;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/DriverTest/SqlClientDriverFixture;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureSetUp
cs+class://NHibernate/Test/DriverTest/SqlClientDriverFixture;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureTearDown
cs+class://NHibernate/Test/DriverTest/SqlServerCeDriverFixture;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureSetUp
cs+class://NHibernate/Test/DriverTest/SqlServerCeDriverFixture;cs+class://NHibernate/Test/TestCase;Boolean AppliesTo(Dialect);Boolean AppliesTo(Dialect);TestFixtureTearDown
cs+class://NHibernate/Test/DriverTest/SqlServerCeDriverFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/DynamicEntity/Interceptor/InterceptorDynamicEntity;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/DynamicEntity/Tuplizer/MyEntityTuplizer;cs+class://NHibernate/Tuple/Entity/PocoEntityTuplizer;IProxyFactory BuildProxyFactory(PersistentClass, IGetter, ISetter);IProxyFactory BuildProxyFactory(PersistentClass, IGetter, ISetter);(field initializer)
cs+class://NHibernate/Test/DynamicEntity/Tuplizer/MyEntityTuplizer;cs+class://NHibernate/Tuple/Entity/PocoEntityTuplizer;IInstantiator BuildInstantiator(PersistentClass);IInstantiator BuildInstantiator(PersistentClass);(field initializer)
cs+class://NHibernate/Test/DynamicEntity/Tuplizer/TuplizerDynamicEntity;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/EntityModeTest/Map/Basic/DynamicClassFixture;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/EntityModeTest/Xml/Basic/XmlFixture;cs+class://NHibernate/Test/TestCase;Void Configure(Configuration);Void Configure(Configuration);Configure
cs+class://NHibernate/Test/Events/Collections/AbstractCollectionEventFixture;cs+class://NHibernate/Test/TestCase;Void OnTearDown();Void OnTearDown();TearDown
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;IParentWithCollection CreateParent(String);IParentWithCollection CreateParent(String);OnTearDown
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();OnTearDown
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentNullToOneChildDiffCollection
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentNoneToOneChildDiffCollection
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentOneChildDiffCollectionSameChild
cs+class://NHibernate/Test/Events/Collections/Association/Bidirectional/ManyToMany/BidirectionalManyToManyBagToSetCollectionEventFixture;cs+class://NHibernate/Test/Events/Collections/Association/AbstractAssociationCollectionEventFixture;ICollection CreateCollection();ICollection CreateCollection();UpdateParentOneChildDiffCollectionDiffChild
