From;To;Source
cs+class://Spring/Context/Support/GenericApplicationContext;cs+class://Spring/Context/Support/AbstractApplicationContext;(not implemented)
cs+class://Spring/Context/Support/StaticApplicationContext;cs+class://Spring/Context/Support/GenericApplicationContext;(not implemented)
cs+class://Spring/Context/Support/XmlApplicationContext;cs+class://Spring/Context/Support/AbstractXmlApplicationContext;(not implemented)
cs+class://Spring/Core/CannotLoadObjectTypeException;cs+class://Spring/Util/FatalReflectionException;(not implemented)
cs+class://Spring/Core/IO/AssemblyResource;cs+class://Spring/Core/IO/AbstractResource;(not implemented)
cs+class://Spring/Core/IO/ConfigSectionResource;cs+class://Spring/Core/IO/AbstractResource;(not implemented)
cs+class://Spring/Core/IO/FileSystemResource;cs+class://Spring/Core/IO/AbstractResource;(not implemented)
cs+class://Spring/Core/IO/ResourceHandlerRegistry/TolerantUriParser;cs+class://System/GenericUriParser;(not implemented)
cs+class://Spring/Core/IO/UrlResource;cs+class://Spring/Core/IO/AbstractResource;(not implemented)
cs+class://Spring/Core/InvalidPropertyException;cs+class://Spring/Util/FatalReflectionException;(not implemented)
cs+class://Spring/Core/MethodInvocationException;cs+class://Spring/Core/PropertyAccessException;(not implemented)
cs+class://Spring/Core/NotReadablePropertyException;cs+class://Spring/Core/InvalidPropertyException;(not implemented)
cs+class://Spring/Core/NotWritablePropertyException;cs+class://Spring/Core/InvalidPropertyException;(not implemented)
cs+class://Spring/Core/NullValueInNestedPathException;cs+class://Spring/Util/FatalReflectionException;(not implemented)
cs+class://Spring/Core/PropertyAccessException;cs+class://Spring/Util/ReflectionException;(not implemented)
cs+class://Spring/Core/PropertyChangeEventArgs;cs+class://System/ComponentModel/PropertyChangedEventArgs;(not implemented)
cs+class://Spring/Core/TypeMismatchException;cs+class://Spring/Core/PropertyAccessException;(not implemented)
cs+class://Spring/DataBinding/BindingErrorMessage;cs+class://Spring/Validation/ErrorMessage;(not implemented)
cs+class://Spring/DataBinding/SimpleExpressionBinding;cs+class://Spring/DataBinding/AbstractSimpleBinding;(not implemented)
cs+class://Spring/Expressions/DefaultNode;cs+class://Spring/Expressions/BinaryOperator;(not implemented)
cs+class://Spring/Expressions/OpXOR;cs+class://Spring/Expressions/BinaryOperator;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/ANTLRException;cs+class://System/Exception;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/ANTLRPanicException;cs+class://Spring/Expressions/Parser/antlr/ANTLRException;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/ByteBuffer;cs+class://Spring/Expressions/Parser/antlr/InputBuffer;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/CharBuffer;cs+class://Spring/Expressions/Parser/antlr/InputBuffer;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/CharStreamException;cs+class://Spring/Expressions/Parser/antlr/ANTLRException;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/CharStreamIOException;cs+class://Spring/Expressions/Parser/antlr/CharStreamException;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/CommonASTWithHiddenTokens;cs+class://Spring/Expressions/Parser/antlr/CommonAST;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/CommonHiddenStreamToken;cs+class://Spring/Expressions/Parser/antlr/CommonToken;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/debug/DebuggingCharScanner;cs+class://Spring/Expressions/Parser/antlr/CharScanner;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/debug/GuessingEventArgs;cs+class://Spring/Expressions/Parser/antlr/debug/ANTLREventArgs;(not implemented)
cs+class://Spring/Expressions/Parser/antlr/debug/LLkDebuggingParser;cs+class://Spring/Expressions/Parser/antlr/LLkParser;(not implemented)
