fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();(field initializer)
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetEnumerator
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetEnumerator
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsArray
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsList
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsIEnumerable
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsIQueryable
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataAsDictionary
cs+class://Microsoft/TestCommon/ValueTypeTestData[1];cs+class://Microsoft/TestCommon/TestData[1];IEnumerable GetTypedTestData();IEnumerable GetTypedTestData();GetTestDataInHolder
cs+class://System/Net/Http/Formatting/BsonMediaTypeFormatterTests/TestBsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BsonMediaTypeFormatter;UnknownType CreateJsonReader(Type, Stream, Encoding);UnknownType CreateJsonReader(Type, Stream, Encoding);CreateJsonReaderInternal
cs+class://System/Net/Http/Formatting/BsonMediaTypeFormatterTests/TestBsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BsonMediaTypeFormatter;UnknownType CreateJsonWriter(Type, Stream, Encoding);UnknownType CreateJsonWriter(Type, Stream, Encoding);CreateJsonWriterInternal
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;Collection ComputeFormatterMatches(Type, HttpRequestMessage, IEnumerable);Collection ComputeFormatterMatches(Type, HttpRequestMessage, IEnumerable);Negotiate
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch SelectResponseMediaTypeFormatter(ICollection);MediaTypeFormatterMatch SelectResponseMediaTypeFormatter(ICollection);Negotiate
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;Encoding SelectResponseCharacterEncoding(HttpRequestMessage, MediaTypeFormatter);Encoding SelectResponseCharacterEncoding(HttpRequestMessage, MediaTypeFormatter);Negotiate
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch MatchMediaTypeMapping(HttpRequestMessage, MediaTypeFormatter);MediaTypeFormatterMatch MatchMediaTypeMapping(HttpRequestMessage, MediaTypeFormatter);ComputeFormatterMatches
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;IEnumerable SortMediaTypeWithQualityHeaderValuesByQFactor(ICollection);IEnumerable SortMediaTypeWithQualityHeaderValuesByQFactor(ICollection);ComputeFormatterMatches
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch MatchAcceptHeader(IEnumerable, MediaTypeFormatter);MediaTypeFormatterMatch MatchAcceptHeader(IEnumerable, MediaTypeFormatter);ComputeFormatterMatches
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch MatchRequestMediaType(HttpRequestMessage, MediaTypeFormatter);MediaTypeFormatterMatch MatchRequestMediaType(HttpRequestMessage, MediaTypeFormatter);ComputeFormatterMatches
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;Boolean ShouldMatchOnType(IEnumerable);Boolean ShouldMatchOnType(IEnumerable);ComputeFormatterMatches
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch MatchType(Type, MediaTypeFormatter);MediaTypeFormatterMatch MatchType(Type, MediaTypeFormatter);ComputeFormatterMatches
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);MediaTypeFormatterMatch UpdateBestMatch(MediaTypeFormatterMatch, MediaTypeFormatterMatch);SelectResponseMediaTypeFormatter
cs+class://System/Net/Http/Formatting/Mocks/MockContentNegotiator;cs+class://System/Net/Http/Formatting/DefaultContentNegotiator;IEnumerable SortStringWithQualityHeaderValuesByQFactor(ICollection);IEnumerable SortStringWithQualityHeaderValuesByQFactor(ICollection);SelectResponseCharacterEncoding
cs+class://System/Net/Http/CustomMultipartFormDataRemoteStreamProvider;cs+class://System/Net/Http/MultipartFormDataRemoteStreamProvider;RemoteStreamInfo GetRemoteStream(HttpContent, HttpContentHeaders);RemoteStreamInfo GetRemoteStream(HttpContent, HttpContentHeaders);GetStream
cs+class://System/Net/Http/Formatting/DataContractJsonMediaTypeFormatterTests/TestJsonMediaTypeFormatter;cs+class://System/Net/Http/Formatting/DataContractJsonMediaTypeFormatter;DataContractJsonSerializer CreateDataContractSerializer(Type);DataContractJsonSerializer CreateDataContractSerializer(Type);CreateDataContractSerializer
cs+class://System/Net/Http/Formatting/MockBufferedMediaTypeFormatter;cs+class://System/Net/Http/Formatting/BufferedMediaTypeFormatter;Void WriteToStream(Type, Object, Stream, HttpContent);Void WriteToStream(Type, Object, Stream, HttpContent);WriteToStream
