From;To;Source
cs+class://Castle/Facilities/WcfIntegration/DataServiceHostFactory;cs+class://Castle/Facilities/WcfIntegration/WindsorServiceHostFactory[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Data/DataServiceModel;cs+class://Castle/Facilities/WcfIntegration/WcfServiceModel[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/FirstAvailablePolicy;cs+class://Castle/Facilities/WcfIntegration/ListBasedLoadBalancePolicy;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/RoundRobinPolicy;cs+class://Castle/Facilities/WcfIntegration/ListBasedLoadBalancePolicy;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageEnvelopeAction;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageEnvelopeAction[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageAction;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageAction[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/WcfBehaviorActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/AbstractChannelBuilder[1];cs+class://Castle/Facilities/WcfIntegration/AbstractChannelBuilder;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Async/WcfRemotingAsyncInterceptor;cs+class://Castle/Facilities/WcfIntegration/Proxy/WcfRemotingInterceptor;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCall[2];cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCallBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCall[1];cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCallBase[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Async/TypeSystem/AsyncType;cs+class://System/Reflection/TypeDelegator;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Async/TypeSystem/BeginMethod;cs+class://Castle/Facilities/WcfIntegration/Async/TypeSystem/AsyncMethod;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Async/TypeSystem/EndMethod;cs+class://Castle/Facilities/WcfIntegration/Async/TypeSystem/AsyncMethod;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DefaultClientModel;cs+class://Castle/Facilities/WcfIntegration/WcfClientModel[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DuplexChannelBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractChannelBuilder[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DuplexClientModel;cs+class://Castle/Facilities/WcfIntegration/WcfClientModel[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/Internal/SynchronousResult;cs+class://Castle/Facilities/WcfIntegration/Internal/AsyncResult;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/RestChannelBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractChannelBuilder[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/RestClientModel;cs+class://Castle/Facilities/WcfIntegration/WcfClientModel[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DefaultChannelBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractChannelBuilder[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/WcfClientActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/WcfClientModel[1];cs+class://Castle/Facilities/WcfIntegration/WcfClientModelBase;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DefaultServiceHost;cs+class://System/ServiceModel/ServiceHost;(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DefaultServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DefaultServiceModel;cs+class://Castle/Facilities/WcfIntegration/WcfServiceModel[1];(not implemented)
cs+class://Castle/Facilities/WcfIntegration/DefaultServiceHostFactory;cs+class://Castle/Facilities/WcfIntegration/WindsorServiceHostFactory[1];(not implemented)
