fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithTargetInterfaceGenerator;cs+class://Castle/DynamicProxy/Generators/InterfaceProxyWithTargetGenerator;InterfaceProxyWithoutTargetContributor GetContributorForAdditionalInterfaces(INamingScope);InterfaceProxyWithoutTargetContributor GetContributorForAdditionalInterfaces(INamingScope);GetTypeImplementerMapping
cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyWithTargetInterfaceTargetContributor;cs+class://Castle/DynamicProxy/Contributors/InterfaceProxyTargetContributor;MembersCollector GetCollectorForInterface(Type);MembersCollector GetCollectorForInterface(Type);CollectElementsToProxyInternal
cs+class://Castle/DynamicProxy/Generators/MethodWithInvocationGenerator;cs+class://Castle/DynamicProxy/Generators/MethodGenerator;MethodEmitter BuildProxiedMethodBody(MethodEmitter, ClassEmitter, ProxyGenerationOptions, INamingScope);MethodEmitter BuildProxiedMethodBody(MethodEmitter, ClassEmitter, ProxyGenerationOptions, INamingScope);Generate
cs+class://Castle/DynamicProxy/Internal/InheritanceInvocation;cs+class://Castle/DynamicProxy/AbstractInvocation;Void InvokeMethodOnTarget();Void InvokeMethodOnTarget();Proceed
cs+class://Castle/DynamicProxy/Internal/InheritanceInvocation;cs+class://Castle/DynamicProxy/AbstractInvocation;Void InvokeMethodOnTarget();Void InvokeMethodOnTarget();Proceed
cs+class://Castle/Core/Logging/TraceLoggerFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String);ILogger Create(String);Create
cs+class://Castle/Core/Logging/TraceLoggerFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String, UnknownType);ILogger Create(String, UnknownType);Create
cs+class://Castle/Core/Logging/DiagnosticsLoggerFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String);ILogger Create(String);Create
cs+class://Castle/Core/Logging/DiagnosticsLoggerFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String, UnknownType);ILogger Create(String, UnknownType);Create
cs+class://Castle/Core/Logging/NullLogFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String);ILogger Create(String);Create
cs+class://Castle/Core/Logging/NullLogFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String, UnknownType);ILogger Create(String, UnknownType);Create
cs+class://Castle/Core/Logging/StreamLoggerFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String);ILogger Create(String);Create
cs+class://Castle/Core/Logging/StreamLoggerFactory;cs+class://Castle/Core/Logging/AbstractLoggerFactory;ILogger Create(String, UnknownType);ILogger Create(String, UnknownType);Create
cs+class://Castle/Core/Logging/ConsoleLogger;cs+class://Castle/Core/Logging/LevelFilteredLogger;Void Log(UnknownType, String, String, Exception);Void Log(UnknownType, String, String, Exception);Log
cs+class://Castle/Core/Logging/DiagnosticsLogger;cs+class://Castle/Core/Logging/LevelFilteredLogger;Void Log(UnknownType, String, String, Exception);Void Log(UnknownType, String, String, Exception);Log
cs+class://Castle/Core/Logging/StreamLogger;cs+class://Castle/Core/Logging/LevelFilteredLogger;Void Log(UnknownType, String, String, Exception);Void Log(UnknownType, String, String, Exception);Log
cs+class://Castle/Core/Logging/TraceLogger;cs+class://Castle/Core/Logging/LevelFilteredLogger;Void Log(UnknownType, String, String, Exception);Void Log(UnknownType, String, String, Exception);Log
cs+class://CastleTests/BasicClassProxyTestCase/ResultModifierInterceptor;cs+class://Castle/DynamicProxy/StandardInterceptor;Void PostProceed(IInvocation);Void PostProceed(IInvocation);Intercept
