TypeName;SystemType
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbIsNullExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbIsOfExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbJoinExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbLambdaExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbLikeExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbLimitExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbNewInstanceExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbNotExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbNullExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbOfTypeExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbOrExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbParameterReferenceExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbProjectExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbPropertyExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbQuantifierExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRefExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRelatedEntityRef;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRelationshipNavigationExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbSkipExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbSortClause;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbSortExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbTreatExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbFunctionAggregate;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/BasicCommandTreeVisitor;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/BasicExpressionVisitor;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpressionVisitor;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbCommandTree;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbDeleteCommandTree;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbModificationCommandTree;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpressionKindHelper;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpressionVisitor[1];True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbFunctionCommandTree;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbInsertCommandTree;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbLambda;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbModificationClause;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbQueryCommandTree;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbSetClause;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUpdateCommandTree;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbVariableReferenceExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DefaultExpressionVisitor;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbGroupExpressionBinding;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/ExpressionBuilder/DbExpressionBuilder;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/ExpressionBuilder/EdmFunctions;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/ExpressionBuilder/Internal/ArgumentValidation;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/ExpressionBuilder/Internal/EnumerableValidator[3];True
cs+class://System/Data/Entity/Core/Common/CommandTrees/ExpressionBuilder/Row;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/ExpressionBuilder/Spatial/SpatialEdmFunctions;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpressionRebinder;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/DbExpressionRule;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/DbExpressionRuleProcessingVisitor;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbInExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ExpressionDumper;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ExpressionKeyGen;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/DbExpressionList;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ExpressionPrinter;True
cs+class://System/Data/Entity/Core/Common/Utils/TreePrinter;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ExpressionPrinter/PrinterVisitor;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ParameterRetriever;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/PatternMatchRule;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/PatternMatchRuleProcessor;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/Patterns;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/DbExpressionValidator;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ViewSimplifier;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ViewSimplifier/ValueSubstituter;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/ViewSimplifier/ProjectionCollapser;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/XmlExpressionDumper;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRefKeyExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnionAllExpression;True
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbScanExpression;True
cs+class://System/Data/Entity/Core/Metadata/Edm/DbModelExtensions;True
cs+interface://System/Data/Entity/Core/Metadata/Edm/IEdmModelAdapter;True
cs+class://System/Data/Entity/Core/Metadata/Edm/RelationshipMultiplicityConverter;True
cs+class://System/Data/Entity/Infrastructure/CommitFailedException;True
cs+class://System/Data/DataException;False
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/AppConfigDependencyResolver;True
cs+interface://System/Data/Entity/Infrastructure/DependencyResolution/IDbDependencyResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/CachingDependencyResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/CompositeResolver[2];True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DatabaseInitializerResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DbConfigurationLoadedEventArgs;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DbConfigurationFinder;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DbConfigurationLoader;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DbConfigurationManager;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DefaultExecutionStrategyResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DefaultInvariantNameResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DefaultProviderFactoryResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DefaultProviderServicesResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/ExecutionStrategyResolver[1];True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/DbDependencyResolverExtensions;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/InternalConfiguration;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/InvariantNameResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/NamedDbProviderService;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/ProviderServicesFactory;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/ResolverChain;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/RootDependencyResolver;True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/SingletonDependencyResolver[1];True
cs+class://System/Data/Entity/Infrastructure/DependencyResolution/WrappingDependencyResolver[1];True
cs+class://System/Data/Entity/Infrastructure/Interception/CancelableDbCommandDispatcher;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandDispatcher;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandInterceptionContext;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbInterceptionContext;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandInterceptionContext[1];True
cs+interface://System/Data/Entity/Infrastructure/Interception/IDbMutableInterceptionContext[1];True
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandInterceptor;True
cs+interface://System/Data/Entity/Infrastructure/Interception/IDbCommandInterceptor;True
cs+class://System/Data/Entity/Infrastructure/Interception/DatabaseLogFormatter;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandTreeDispatcher;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandTreeInterceptionContext;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbInterception;True
cs+class://System/Data/Entity/Infrastructure/Interception/DbDispatchers;True
cs+class://System/Data/Entity/Infrastructure/Interception/EntityConnectionDispatcher;True
cs+interface://System/Data/Entity/Infrastructure/Interception/ICancelableDbCommandInterceptor;True
cs+interface://System/Data/Entity/Infrastructure/Interception/IDbInterceptor;True
cs+interface://System/Data/Entity/Infrastructure/Interception/IDbCommandTreeInterceptor;True
cs+interface://System/Data/Entity/Infrastructure/Interception/IDbMutableInterceptionContext;True
cs+interface://System/Data/Entity/Infrastructure/Interception/IEntityConnectionInterceptor;True
cs+class://System/Data/Entity/Infrastructure/Interception/InterceptionContextMutableData;True
cs+class://System/Data/Entity/Infrastructure/Interception/InterceptionContextMutableData[1];True
cs+class://System/Data/Entity/Infrastructure/Interception/InternalDispatcher[1];True
cs+class://System/Data/Entity/Infrastructure/Design/Executor;True
cs+class://System/Data/Entity/Infrastructure/Design/Executor/GetProviderServices;True
cs+class://System/Data/Entity/Infrastructure/Design/ForwardingProxy[1];True
cs+class://System/Runtime/Remoting/Proxies/RealProxy;False
cs+interface://System/Runtime/Remoting/Activation/IConstructionReturnMessage;False
cs+interface://System/Runtime/Remoting/Messaging/IMethodMessage;False
cs+class://System/Runtime/Remoting/Messaging/LogicalCallContext;False
cs+interface://System/Runtime/Remoting/Messaging/IMethodReturnMessage;False
cs+interface://System/Runtime/Remoting/Activation/IConstructionCallMessage;False
cs+interface://System/Runtime/Remoting/Messaging/IMethodCallMessage;False
cs+interface://System/Runtime/Remoting/Activation/IActivator;False
cs+class://System/Data/Entity/Infrastructure/Design/HandlerBase;True
cs+interface://System/Data/Entity/Infrastructure/Design/IResultHandler;True
cs+class://System/Data/Entity/Infrastructure/Design/WrappedHandler;True
cs+class://System/Data/Entity/Infrastructure/MappingViews/DbMappingView;True
cs+class://System/Data/Entity/Infrastructure/MappingViews/DbMappingViewCache;True
cs+class://System/Data/Entity/Infrastructure/MappingViews/DbMappingViewCacheFactory;True
cs+class://System/Data/Entity/Infrastructure/MappingViews/DbMappingViewCacheTypeAttribute;True
cs+class://System/Data/Entity/Infrastructure/MappingViews/DefaultDbMappingViewCacheFactory;True
cs+class://System/Data/Entity/Internal/MigrationsChecker;True
cs+class://System/Data/Entity/Migrations/Builders/ParameterBuilder;True
cs+class://System/Data/Entity/Migrations/Model/AlterProcedureOperation;True
cs+class://System/Data/Entity/Migrations/Model/ProcedureOperation;True
cs+class://System/Data/Entity/Migrations/Model/UpdateDatabaseOperation;True
cs+class://System/Data/Entity/Migrations/Model/MigrationOperation;True
cs+class://System/Data/Entity/Migrations/Model/UpdateDatabaseOperation/Migration;True
cs+class://System/Data/Entity/Migrations/Model/MoveProcedureOperation;True
cs+class://System/Data/Entity/Migrations/Model/RenameProcedureOperation;True
cs+class://System/Data/Entity/Migrations/Model/NotSupportedOperation;True
cs+class://System/Data/Entity/Migrations/Model/ParameterModel;True
cs+class://System/Data/Entity/Migrations/Model/PropertyModel;True
cs+class://System/Data/Entity/Migrations/Model/DropProcedureOperation;True
cs+class://System/Data/Entity/ModelConfiguration/Configuration/Properties/Navigation/ConventionNavigationPropertyConfiguration;True
cs+class://System/Data/Entity/ModelConfiguration/Configuration/TypeConventionConfiguration;True
