From;To;Source
cs+class://ICSharpCode/SharpZipLib/Zip/ZipException;cs+class://ICSharpCode/SharpZipLib/SharpZipBaseException;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Zip/DiskArchiveStorage;cs+class://ICSharpCode/SharpZipLib/Zip/BaseArchiveStorage;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Zip/MemoryArchiveStorage;cs+class://ICSharpCode/SharpZipLib/Zip/BaseArchiveStorage;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Zip/ZipInputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/InflaterInputStream;(not implemented)
cs+class://ICSharpCode/SharpZipLib/Zip/ZipOutputStream;cs+class://ICSharpCode/SharpZipLib/Zip/Compression/Streams/DeflaterOutputStream;(not implemented)
cs+class://AxShockwaveFlashObjects/AxShockwaveFlash;cs+class://System/Windows/Forms/AxHost;(not implemented)
cs+class://XMLCompletion/ZenExpandException;cs+class://System/Exception;(not implemented)
cs+class://ASCompletion/ModelsExplorer/ClasspathTreeNode;cs+class://System/Windows/Forms/TreeNode;(not implemented)
cs+class://ASCompletion/ModelsExplorer/ExploreTreeNode;cs+class://System/Windows/Forms/TreeNode;(not implemented)
cs+class://ASCompletion/ModelsExplorer/PackageTreeNode;cs+class://System/Windows/Forms/TreeNode;(not implemented)
cs+class://ASCompletion/ModelsExplorer/TypeTreeNode;cs+class://System/Windows/Forms/TreeNode;(not implemented)
cs+class://ASCompletion/MemberTreeNode;cs+class://System/Windows/Forms/TreeNode;(not implemented)
cs+class://ProjectManager/Controls/RecentProjectsMenu;cs+class://System/Windows/Forms/ToolStripMenuItem;(not implemented)
cs+class://ProjectManager/Projects/AS2/AS2Project;cs+class://ProjectManager/Projects/Project;(not implemented)
cs+class://ProjectManager/Projects/AS2/AS2ProjectReader;cs+class://ProjectManager/Projects/ProjectReader;(not implemented)
cs+class://ProjectManager/Projects/AS2/AS2ProjectWriter;cs+class://ProjectManager/Projects/ProjectWriter;(not implemented)
