From;To;Source
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbInsertCommandTree;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbModificationCommandTree;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbModificationCommandTree;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbCommandTree;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbQueryCommandTree;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbCommandTree;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUpdateCommandTree;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbModificationCommandTree;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbVariableReferenceExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbInExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/DbExpressionList;cs+class://System/Collections/ObjectModel/ReadOnlyCollection[1];(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/Internal/DbExpressionValidator;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpressionRebinder;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbRefKeyExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbUnionAllExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbBinaryExpression;(not implemented)
cs+class://System/Data/Entity/Core/Common/CommandTrees/DbScanExpression;cs+class://System/Data/Entity/Core/Common/CommandTrees/DbExpression;(not implemented)
cs+class://System/Data/Entity/Infrastructure/CommitFailedException;cs+class://System/Data/DataException;(not implemented)
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandInterceptionContext;cs+class://System/Data/Entity/Infrastructure/Interception/DbInterceptionContext;(not implemented)
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandInterceptionContext[1];cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandInterceptionContext;(not implemented)
cs+class://System/Data/Entity/Infrastructure/Interception/DbCommandTreeInterceptionContext;cs+class://System/Data/Entity/Infrastructure/Interception/DbInterceptionContext;(not implemented)
cs+class://System/Data/Entity/Infrastructure/Design/ForwardingProxy[1];cs+class://System/Runtime/Remoting/Proxies/RealProxy;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/AlterProcedureOperation;cs+class://System/Data/Entity/Migrations/Model/ProcedureOperation;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/UpdateDatabaseOperation;cs+class://System/Data/Entity/Migrations/Model/MigrationOperation;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/MoveProcedureOperation;cs+class://System/Data/Entity/Migrations/Model/MigrationOperation;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/RenameProcedureOperation;cs+class://System/Data/Entity/Migrations/Model/MigrationOperation;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/ProcedureOperation;cs+class://System/Data/Entity/Migrations/Model/MigrationOperation;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/NotSupportedOperation;cs+class://System/Data/Entity/Migrations/Model/MigrationOperation;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/ParameterModel;cs+class://System/Data/Entity/Migrations/Model/PropertyModel;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/DropProcedureOperation;cs+class://System/Data/Entity/Migrations/Model/MigrationOperation;(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConvention;cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionBase;(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConvention[1];cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionBase;(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHaving[2];cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHavingBase[1];(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHaving[1];cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHavingBase[1];(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionWithHavingBase[1];cs+class://System/Data/Entity/ModelConfiguration/Conventions/TypeConventionBase;(not implemented)
cs+class://System/Data/Entity/Core/Common/Internal/Materialization/CoordinatorFactory[1];cs+class://System/Data/Entity/Core/Common/Internal/Materialization/CoordinatorFactory;(not implemented)
cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Coordinator[1];cs+class://System/Data/Entity/Core/Common/Internal/Materialization/Coordinator;(not implemented)
cs+class://System/Data/Entity/Core/Objects/DataClasses/EdmFunctionAttribute;cs+class://System/Data/Entity/DbFunctionAttribute;(not implemented)
cs+class://System/Data/Entity/Core/Common/DbXmlEnabledProviderManifest/EmptyItemCollection;cs+class://System/Data/Entity/Core/Metadata/Edm/ItemCollection;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntityRecordInfo;cs+class://System/Data/Entity/Core/Common/DataRecordInfo;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/AST/GroupPartitionExpr;cs+class://System/Data/Entity/Core/Common/EntitySql/AST/GroupAggregateExpr;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/AST/Identifier;cs+class://System/Data/Entity/Core/Common/EntitySql/AST/Node;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/AST/Literal;cs+class://System/Data/Entity/Core/Common/EntitySql/AST/Node;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/AST/MethodExpr;cs+class://System/Data/Entity/Core/Common/EntitySql/AST/GroupAggregateExpr;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/AST/QueryParameter;cs+class://System/Data/Entity/Core/Common/EntitySql/AST/Node;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/EntityContainerExpression;cs+class://System/Data/Entity/Core/Common/EntitySql/ExpressionResolution;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/FunctionAggregateInfo;cs+class://System/Data/Entity/Core/Common/EntitySql/GroupAggregateInfo;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/GroupKeyAggregateInfo;cs+class://System/Data/Entity/Core/Common/EntitySql/GroupAggregateInfo;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/GroupKeyDefinitionScopeEntry;cs+class://System/Data/Entity/Core/Common/EntitySql/ScopeEntry;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/GroupPartitionInfo;cs+class://System/Data/Entity/Core/Common/EntitySql/GroupAggregateInfo;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/InlineFunctionGroup;cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataMember;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/InvalidGroupInputRefScopeEntry;cs+class://System/Data/Entity/Core/Common/EntitySql/ScopeEntry;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataEnumMember;cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataMember;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataFunctionGroup;cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataMember;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataMember;cs+class://System/Data/Entity/Core/Common/EntitySql/ExpressionResolution;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataNamespace;cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataMember;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataType;cs+class://System/Data/Entity/Core/Common/EntitySql/MetadataMember;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/SemanticAnalyzer/InlineFunctionInfoImpl;cs+class://System/Data/Entity/Core/Common/EntitySql/InlineFunctionInfo;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/SourceScopeEntry;cs+class://System/Data/Entity/Core/Common/EntitySql/ScopeEntry;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/ProjectionItemDefinitionScopeEntry;cs+class://System/Data/Entity/Core/Common/EntitySql/ScopeEntry;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/FreeVariableScopeEntry;cs+class://System/Data/Entity/Core/Common/EntitySql/ScopeEntry;(not implemented)
cs+class://System/Data/Entity/Core/Common/EntitySql/ValueExpression;cs+class://System/Data/Entity/Core/Common/EntitySql/ExpressionResolution;(not implemented)
cs+class://System/Data/Entity/Migrations/Infrastructure/ModificationCommandTreeGenerator/TempDbContext;cs+class://System/Data/Entity/DbContext;(not implemented)
cs+class://System/Data/Entity/Infrastructure/RetryLimitExceededException;cs+class://System/Data/Entity/Core/EntityException;(not implemented)
cs+class://System/Data/Entity/Infrastructure/DbSqlQuery;cs+class://System/Data/Entity/Infrastructure/DbRawSqlQuery;(not implemented)
cs+class://System/Data/Entity/Infrastructure/DbSqlQuery[1];cs+class://System/Data/Entity/Infrastructure/DbRawSqlQuery[1];(not implemented)
cs+class://System/Data/Entity/Migrations/Infrastructure/MigrationsPendingException;cs+class://System/Data/Entity/Migrations/Infrastructure/MigrationsException;(not implemented)
cs+class://System/Data/Entity/Migrations/Model/CreateProcedureOperation;cs+class://System/Data/Entity/Migrations/Model/ProcedureOperation;(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Conventions/PropertyConvention;cs+class://System/Data/Entity/ModelConfiguration/Conventions/PropertyConventionBase;(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Conventions/PropertyConventionWithHaving[1];cs+class://System/Data/Entity/ModelConfiguration/Conventions/PropertyConventionBase;(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Edm/Services/ModificationFunctionMappingGenerator;cs+class://System/Data/Entity/ModelConfiguration/Edm/Services/StructuralTypeMappingGenerator;(not implemented)
cs+class://System/Data/Entity/ModelConfiguration/Edm/Services/FunctionParameterMappingGenerator;cs+class://System/Data/Entity/ModelConfiguration/Edm/Services/StructuralTypeMappingGenerator;(not implemented)
cs+class://System/Data/Entity/Core/Common/Internal/Materialization/CollectionTranslatorResult;cs+class://System/Data/Entity/Core/Common/Internal/Materialization/TranslatorResult;(not implemented)
