TypeName;SystemType
cs+class://System/Web/Http/Controllers/HttpActionBinding;False
cs+class://System/Web/Http/Controllers/HttpControllerDescriptor;False
cs+interface://System/Web/Http/Controllers/IHttpController;False
cs+interface://System/Web/Http/Controllers/IActionResultConverter;False
cs+class://System/Net/Http/HttpResponseMessage;False
cs+class://System/Net/Http/Headers/HttpResponseHeaders;False
cs+class://System/Net/Http/Headers/RetryConditionHeaderValue;False
cs+class://System/Web/Http/ParameterBindingAttribute;False
cs+class://System/Net/Http/Formatting/MediaTypeFormatterCollection;False
cs+class://System/Net/Http/Formatting/MediaTypeFormatter;False
cs+interface://System/Net/Http/Formatting/IFormatterLogger;False
cs+class://System/Text/Encoding;False
cs+class://System/Text/EncoderFallback;False
cs+class://System/Text/EncoderFallbackBuffer;False
cs+class://System/Text/DecoderFallback;False
cs+class://System/Text/DecoderFallbackBuffer;False
cs+class://System/Text/Decoder;False
cs+class://System/Text/Encoder;False
cs+interface://System/Net/Http/Formatting/IRequiredMemberSelector;False
cs+class://System/Net/Http/Formatting/XmlMediaTypeFormatter;False
cs+class://System/Runtime/Serialization/XmlObjectSerializer;False
cs+class://System/Xml/XmlDictionaryWriter;False
cs+class://System/Xml/XmlWriter;False
cs+class://System/DateTimeOffset;False
cs+class://System/Xml/XmlReader;False
cs+interface://System/Xml/IXmlNamespaceResolver;False
cs+class://System/Xml/XmlReaderSettings;False
cs+class://System/Xml/XmlNameTable;False
cs+class://System/Xml/XmlResolver;False
cs+interface://System/Net/ICredentials;False
cs+class://System/Net/NetworkCredential;False
cs+interface://System/Net/ICredentialsByHost;False
cs+class://System/Xml/Schema/XmlSchemaSet;False
cs+class://System/Xml/Schema/XmlSchema;False
cs+class://System/Xml/Schema/XmlSchemaObject;False
cs+class://System/Xml/Serialization/XmlSerializerNamespaces;False
cs+class://System/IO/TextReader;False
cs+class://System/Xml/XmlNamespaceManager;False
cs+class://System/IO/TextWriter;False
cs+class://System/Xml/Schema/XmlSchemaObjectCollection;False
cs+class://System/Collections/CollectionBase;False
cs+class://System/Xml/Schema/XmlSchemaObjectEnumerator;False
cs+class://System/Xml/Schema/XmlSchemaObjectTable;False
cs+class://System/Xml/XmlQualifiedName;False
cs+class://System/Xml/Schema/XmlSchemaCompilationSettings;False
cs+class://System/Xml/XmlParserContext;False
cs+interface://System/Xml/Schema/IXmlSchemaInfo;False
cs+class://System/Xml/Schema/XmlSchemaSimpleType;False
cs+class://System/Xml/Schema/XmlSchemaAnnotated;False
cs+class://System/Xml/Schema/XmlSchemaAnnotation;False
cs+class://System/Xml/Schema/XmlSchemaType;False
cs+class://System/Xml/Schema/XmlSchemaComplexType;False
cs+class://System/Xml/Schema/XmlSchemaDatatype;False
cs+class://System/Xml/Schema/XmlSchemaContentModel;False
cs+class://System/Xml/Schema/XmlSchemaContent;False
cs+class://System/Xml/Schema/XmlSchemaParticle;False
cs+class://System/Xml/Schema/XmlSchemaAnyAttribute;False
cs+class://System/Xml/Schema/XmlSchemaSimpleTypeContent;False
cs+class://System/Xml/Schema/XmlSchemaElement;False
cs+class://System/Xml/Schema/XmlSchemaAttribute;False
cs+class://System/Xml/XPath/XPathNavigator;False
cs+class://System/Xml/XPath/XPathItem;False
cs+class://System/Xml/XPath/XPathExpression;False
cs+class://System/Xml/XPath/XPathNodeIterator;False
cs+interface://System/Xml/XPath/IXPathNavigable;False
cs+class://System/Xml/XmlWriterSettings;False
cs+class://System/Text/StringBuilder;False
cs+interface://System/Xml/IXmlDictionary;False
cs+class://System/Xml/XmlDictionaryString;False
cs+class://System/Xml/XmlBinaryWriterSession;False
cs+interface://System/Xml/IStreamProvider;False
cs+class://System/Xml/UniqueId;False
cs+class://System/Xml/XmlDictionaryReader;False
cs+class://System/Xml/XmlDictionaryReaderQuotas;False
cs+class://System/Xml/XmlBinaryReaderSession;False
cs+class://System/Xml/Serialization/XmlSerializer;False
cs+class://System/Xml/Serialization/XmlDeserializationEvents;False
cs+class://System/CodeDom/Compiler/CompilerParameters;False
cs+class://System/Collections/Specialized/StringCollection;False
cs+class://System/Collections/Specialized/StringEnumerator;False
cs+class://System/CodeDom/Compiler/TempFileCollection;False
cs+class://System/Xml/Serialization/XmlSerializationReader;False
cs+class://System/Xml/XmlAttribute;False
cs+class://System/Xml/XmlNode;False
cs+class://System/Xml/XmlNodeList;False
cs+class://System/Xml/XmlAttributeCollection;False
cs+class://System/Xml/XmlNamedNodeMap;False
cs+class://System/Xml/XmlDocument;False
cs+class://System/Xml/XmlElement;False
cs+class://System/Xml/XmlLinkedNode;False
cs+class://System/Xml/XmlCDataSection;False
cs+class://System/Xml/XmlCharacterData;False
cs+class://System/Xml/XmlComment;False
cs+class://System/Xml/XmlDocumentType;False
cs+class://System/Xml/XmlDocumentFragment;False
cs+class://System/Xml/XmlEntityReference;False
cs+class://System/Xml/XmlProcessingInstruction;False
cs+class://System/Xml/XmlDeclaration;False
cs+class://System/Xml/XmlText;False
cs+class://System/Xml/XmlSignificantWhitespace;False
cs+class://System/Xml/XmlWhitespace;False
cs+class://System/Xml/XmlImplementation;False
cs+interface://System/Xml/Serialization/IXmlSerializable;False
cs+class://System/Xml/Serialization/XmlSerializationReader/Fixup;False
cs+class://System/Xml/Serialization/XmlSerializationReader/CollectionFixup;False
cs+class://System/Xml/Serialization/XmlSerializationGeneratedCode;False
cs+class://System/Xml/Serialization/XmlSerializationWriter;False
cs+class://System/Net/Http/Formatting/JsonMediaTypeFormatter;False
cs+class://Newtonsoft/Json/JsonSerializerSettings;False
cs+interface://Newtonsoft/Json/Serialization/IContractResolver;False
cs+class://Newtonsoft/Json/Serialization/JsonContract;False
cs+class://Newtonsoft/Json/JsonConverter;False
cs+class://Newtonsoft/Json/JsonWriter;False
cs+class://Newtonsoft/Json/JsonReader;False
cs+class://Newtonsoft/Json/JsonSerializer;False
cs+interface://Newtonsoft/Json/Serialization/IReferenceResolver;False
cs+class://System/Runtime/Serialization/SerializationBinder;False
cs+interface://Newtonsoft/Json/Serialization/ITraceWriter;False
cs+class://Newtonsoft/Json/JsonConverterCollection;False
cs+class://Newtonsoft/Json/Schema/JsonSchema;False
cs+class://Newtonsoft/Json/Schema/JsonSchemaResolver;False
cs+class://Newtonsoft/Json/Linq/JToken;False
cs+class://Newtonsoft/Json/Linq/JEnumerable[1];False
cs+interface://Newtonsoft/Json/Linq/IJEnumerable[1];False
cs+class://System/Dynamic/DynamicMetaObject;False
cs+class://System/Dynamic/ConvertBinder;False
cs+class://System/Runtime/CompilerServices/CallSiteBinder;False
cs+class://System/Linq/Expressions/Expression;False
cs+class://System/Linq/Expressions/BinaryExpression;False
cs+class://System/Linq/Expressions/LambdaExpression;False
cs+class://System/Linq/Expressions/BlockExpression;False
cs+class://System/Linq/Expressions/CatchBlock;False
cs+class://System/Linq/Expressions/ParameterExpression;False
cs+class://System/Linq/Expressions/ConditionalExpression;False
cs+class://System/Linq/Expressions/ConstantExpression;False
cs+class://System/Linq/Expressions/DebugInfoExpression;False
cs+class://System/Linq/Expressions/SymbolDocumentInfo;False
cs+class://System/Linq/Expressions/DefaultExpression;False
cs+class://System/Linq/Expressions/DynamicExpression;False
cs+class://System/Linq/Expressions/ElementInit;False
cs+class://System/Linq/Expressions/ExpressionVisitor;False
cs+class://System/Linq/Expressions/GotoExpression;False
cs+class://System/Linq/Expressions/LabelTarget;False
cs+class://System/Linq/Expressions/IndexExpression;False
cs+class://System/Linq/Expressions/InvocationExpression;False
cs+class://System/Linq/Expressions/LabelExpression;False
cs+class://System/Linq/Expressions/Expression[1];False
cs+class://System/Linq/Expressions/ListInitExpression;False
cs+class://System/Linq/Expressions/NewExpression;False
cs+class://System/Linq/Expressions/LoopExpression;False
cs+class://System/Linq/Expressions/MemberAssignment;False
cs+class://System/Linq/Expressions/MemberBinding;False
cs+class://System/Linq/Expressions/MemberExpression;False
cs+class://System/Linq/Expressions/MemberInitExpression;False
cs+class://System/Linq/Expressions/MemberListBinding;False
cs+class://System/Linq/Expressions/MemberMemberBinding;False
cs+class://System/Linq/Expressions/MethodCallExpression;False
