direct?;source;from;to;from declaration
True;Assignment;cs+class://umbraco/MacroEngines/PropertyResult;cs+interface://umbraco/interfaces/IProperty;GetProperty in umbraco.MacroEngines.DynamicNode
True;Return;cs+class://umbraco/MacroEngines/RazorUmbracoHost;cs+class://System/Web/WebPages/Razor/WebPageRazorHost;CreateHost in umbraco.MacroEngines.RazorUmbracoFactory
True;Assignment;cs+class://umbraco/MacroEngines/UmbracoCultureDictionary;cs+interface://umbraco/MacroEngines/ICultureDictionary;SetMembers in umbraco.MacroEngines.BaseContext
True;Parameter;cs+class://umbraco/MacroEngines/DynamicQueryableGetMemberBinder;cs+class://System/Dynamic/GetMemberBinder;OrderBy in umbraco.MacroEngines.Grouping
True;Parameter;cs+class://umbraco/MacroEngines/DynamicQueryableGetMemberBinder;cs+class://System/Dynamic/GetMemberBinder;OrderBy in umbraco.MacroEngines.Grouping
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;TryInvokeMember in umbraco.MacroEngines.DynamicNodeList
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;TryInvokeMember in umbraco.MacroEngines.DynamicNodeList
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;TryInvokeMember in umbraco.MacroEngines.DynamicNodeList
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;TryInvokeMember in umbraco.MacroEngines.DynamicNodeList
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;TryInvokeMember in umbraco.MacroEngines.DynamicNodeList
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;TryInvokeMember in umbraco.MacroEngines.DynamicNodeList
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;Sibling in umbraco.MacroEngines.DynamicNodeWalker
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;Sibling in umbraco.MacroEngines.DynamicNodeWalker
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;Next in umbraco.MacroEngines.DynamicNodeWalker
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;Previous in umbraco.MacroEngines.DynamicNodeWalker
True;Parameter;cs+class://umbraco/MacroEngines/DynamicNode;cs+interface://umbraco/interfaces/INode;EnsureOwnersList in umbraco.MacroEngines.DynamicNode
True;Assignment;cs+class://umbraco/MacroEngines/UmbracoParameterDictionary;cs+interface://umbraco/MacroEngines/IParameterDictionary;SetMembers in umbraco.MacroEngines.BaseContext
True;Cast;cs+class://Umbraco/Core/ApplicationContext;cs+interface://System/IDisposable;Dispose in Umbraco.Web.Standalone.ServiceContextManager
True;Cast;cs+class://Umbraco/Core/ApplicationContext;cs+interface://System/IDisposable;Dispose in Umbraco.Core.Standalone.ServiceContextManager
True;Assignment;cs+class://Umbraco/Core/Auditing/DataAuditWriteProvider;cs+interface://Umbraco/Core/Auditing/IAuditWriteProvider;AuditTrail in Umbraco.Core.Auditing.AuditTrail
True;Parameter;cs+class://Umbraco/Core/Cache/ObjectCacheRuntimeCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Services in Umbraco.Web.Standalone.ServiceContextManager
True;Parameter;cs+class://Umbraco/Core/Cache/ObjectCacheRuntimeCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;CreateApplicationCache in Umbraco.Core.CoreBootManager
True;Parameter;cs+class://Umbraco/Core/Cache/ObjectCacheRuntimeCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Services in Umbraco.Core.Standalone.ServiceContextManager
True;Parameter;cs+class://Umbraco/Core/Cache/ObjectCacheRuntimeCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Setup in Umbraco.Tests.Macros.MacroTests
True;Parameter;cs+class://Umbraco/Core/Cache/ObjectCacheRuntimeCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Can_Get_Pre_Value_Collection_With_Cache in Umbraco.Tests.Persistence.Repositories.DataTypeDefinitionRepositoryTest
True;Parameter;cs+class://Umbraco/Core/Cache/ObjectCacheRuntimeCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Can_Get_Pre_Value_As_String_With_Cache in Umbraco.Tests.Persistence.Repositories.DataTypeDefinitionRepositoryTest
False;Parameter;cs+class://Umbraco/Core/Cache/NullCacheProvider;cs+interface://Umbraco/Core/Cache/IRuntimeCacheProvider;Services in Umbraco.Web.Standalone.ServiceContextManager
