From;To;Source
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/BagPropertiesCustomizer[2];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/CollectionPropertiesCustomizer[2];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/ClassCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/ComponentCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/IdBagPropertiesCustomizer[2];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/CollectionPropertiesCustomizer[2];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/JoinCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/JoinedSubclassCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/ListPropertiesCustomizer[2];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/CollectionPropertiesCustomizer[2];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/MapPropertiesCustomizer[3];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/CollectionPropertiesCustomizer[2];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/NaturalIdCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/SetPropertiesCustomizer[2];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/CollectionPropertiesCustomizer[2];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/SubclassCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/UnionSubclassCustomizer[1];cs+class://NHibernate/Mapping/ByCode/Impl/CustomizersImpl/PropertyContainerCustomizer[1];(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/JoinedSubclassMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractPropertyContainerMapper;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/JoinMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractPropertyContainerMapper;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/NaturalIdMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractBasePropertyContainerMapper;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/OneToOneMapper[1];cs+class://NHibernate/Mapping/ByCode/Impl/OneToOneMapper;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/SubclassMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractPropertyContainerMapper;(not implemented)
cs+class://NHibernate/Mapping/ByCode/Impl/UnionSubclassMapper;cs+class://NHibernate/Mapping/ByCode/Impl/AbstractPropertyContainerMapper;(not implemented)
cs+class://NHibernate/Mapping/Component;cs+class://NHibernate/Mapping/SimpleValue;(not implemented)
cs+class://NHibernate/Mapping/ByCode/ConventionModelMapper;cs+class://NHibernate/Mapping/ByCode/ModelMapper;(not implemented)
cs+class://NHibernate/Mapping/IdentifierBag;cs+class://NHibernate/Mapping/IdentifierCollection;(not implemented)
cs+class://NHibernate/Mapping/IdentifierCollection;cs+class://NHibernate/Mapping/Collection;(not implemented)
cs+class://NHibernate/Mapping/IndexedCollection;cs+class://NHibernate/Mapping/Collection;(not implemented)
cs+class://NHibernate/Mapping/List;cs+class://NHibernate/Mapping/IndexedCollection;(not implemented)
cs+class://NHibernate/Mapping/ManyToOne;cs+class://NHibernate/Mapping/ToOne;(not implemented)
cs+class://NHibernate/Mapping/Map;cs+class://NHibernate/Mapping/IndexedCollection;(not implemented)
cs+class://NHibernate/Mapping/OneToOne;cs+class://NHibernate/Mapping/ToOne;(not implemented)
cs+class://NHibernate/Mapping/PrimitiveArray;cs+class://NHibernate/Mapping/Array;(not implemented)
cs+class://NHibernate/Mapping/Set;cs+class://NHibernate/Mapping/Collection;(not implemented)
cs+class://NHibernate/Mapping/ToOne;cs+class://NHibernate/Mapping/SimpleValue;(not implemented)
cs+class://NHibernate/NonUniqueObjectException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/NonUniqueResultException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/ObjectDeletedException;cs+class://NHibernate/UnresolvableObjectException;(not implemented)
cs+class://NHibernate/ObjectNotFoundException;cs+class://NHibernate/UnresolvableObjectException;(not implemented)
cs+class://NHibernate/PersistentObjectException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/PropertyAccessException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/PropertyNotFoundException;cs+class://NHibernate/MappingException;(not implemented)
cs+class://NHibernate/PropertyValueException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Proxy/DefaultLazyInitializer;cs+class://NHibernate/Proxy/Poco/BasicLazyInitializer;(not implemented)
cs+class://NHibernate/QueryException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/ReplicationMode/ExceptionReplicationMode;cs+class://NHibernate/ReplicationMode;(not implemented)
cs+class://NHibernate/ReplicationMode/IgnoreReplicationMode;cs+class://NHibernate/ReplicationMode;(not implemented)
cs+class://NHibernate/ReplicationMode/LatestVersionReplicationMode;cs+class://NHibernate/ReplicationMode;(not implemented)
cs+class://NHibernate/ReplicationMode/OverwriteReplicationMode;cs+class://NHibernate/ReplicationMode;(not implemented)
cs+class://NHibernate/SqlCommand/ANSICaseFragment;cs+class://NHibernate/SqlCommand/CaseFragment;(not implemented)
cs+class://NHibernate/SqlCommand/DecodeCaseFragment;cs+class://NHibernate/SqlCommand/CaseFragment;(not implemented)
cs+class://NHibernate/SqlCommand/SqlDeleteBuilder;cs+class://NHibernate/SqlCommand/SqlBaseBuilder;(not implemented)
cs+class://NHibernate/SqlCommand/SqlSelectBuilder;cs+class://NHibernate/SqlCommand/SqlBaseBuilder;(not implemented)
cs+class://NHibernate/SqlCommand/SqlSimpleSelectBuilder;cs+class://NHibernate/SqlCommand/SqlBaseBuilder;(not implemented)
cs+class://NHibernate/SqlCommand/SqlUpdateBuilder;cs+class://NHibernate/SqlCommand/SqlBaseBuilder;(not implemented)
cs+class://NHibernate/SqlCommand/WhereBuilder;cs+class://NHibernate/SqlCommand/SqlBaseBuilder;(not implemented)
cs+class://NHibernate/SqlTypes/AnsiStringFixedLengthSqlType;cs+class://NHibernate/SqlTypes/SqlType;(not implemented)
cs+class://NHibernate/SqlTypes/AnsiStringSqlType;cs+class://NHibernate/SqlTypes/SqlType;(not implemented)
cs+class://NHibernate/SqlTypes/BinaryBlobSqlType;cs+class://NHibernate/SqlTypes/BinarySqlType;(not implemented)
cs+class://NHibernate/SqlTypes/BinarySqlType;cs+class://NHibernate/SqlTypes/SqlType;(not implemented)
cs+class://NHibernate/SqlTypes/StringClobSqlType;cs+class://NHibernate/SqlTypes/StringSqlType;(not implemented)
cs+class://NHibernate/SqlTypes/StringFixedLengthSqlType;cs+class://NHibernate/SqlTypes/SqlType;(not implemented)
cs+class://NHibernate/SqlTypes/StringSqlType;cs+class://NHibernate/SqlTypes/SqlType;(not implemented)
cs+class://NHibernate/StaleObjectStateException;cs+class://NHibernate/StaleStateException;(not implemented)
cs+class://NHibernate/TransactionException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/TransientObjectException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Type/AnsiStringType;cs+class://NHibernate/Type/AbstractStringType;(not implemented)
cs+class://NHibernate/Type/ArrayType;cs+class://NHibernate/Type/CollectionType;(not implemented)
cs+class://NHibernate/Type/BinaryBlobType;cs+class://NHibernate/Type/BinaryType;(not implemented)
cs+class://NHibernate/Type/BinaryType;cs+class://NHibernate/Type/AbstractBinaryType;(not implemented)
cs+class://NHibernate/Type/BooleanType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/ByteType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/CharBooleanType;cs+class://NHibernate/Type/BooleanType;(not implemented)
cs+class://NHibernate/Type/CharType;cs+class://NHibernate/Type/AbstractCharType;(not implemented)
cs+class://NHibernate/Type/CultureInfoType;cs+class://NHibernate/Type/ImmutableType;(not implemented)
cs+class://NHibernate/Type/DateTimeType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/DateType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/DecimalType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/DoubleType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/EnumStringType;cs+class://NHibernate/Type/AbstractEnumType;(not implemented)
cs+class://NHibernate/Type/EnumStringType[1];cs+class://NHibernate/Type/EnumStringType;(not implemented)
cs+class://NHibernate/Type/GuidType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/ImmutableType;cs+class://NHibernate/Type/NullableType;(not implemented)
cs+class://NHibernate/Type/Int16Type;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/Int32Type;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/Int64Type;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/ManyToOneType;cs+class://NHibernate/Type/EntityType;(not implemented)
cs+class://NHibernate/Type/MutableType;cs+class://NHibernate/Type/NullableType;(not implemented)
cs+class://NHibernate/Type/OneToOneType;cs+class://NHibernate/Type/EntityType;(not implemented)
cs+class://NHibernate/Type/PersistentEnumType;cs+class://NHibernate/Type/AbstractEnumType;(not implemented)
cs+class://NHibernate/Type/EnumType[1];cs+class://NHibernate/Type/PersistentEnumType;(not implemented)
cs+class://NHibernate/Type/SByteType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/SerializableType;cs+class://NHibernate/Type/MutableType;(not implemented)
cs+class://NHibernate/Type/SerializationException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Type/SingleType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/StringClobType;cs+class://NHibernate/Type/StringType;(not implemented)
cs+class://NHibernate/Type/StringType;cs+class://NHibernate/Type/AbstractStringType;(not implemented)
cs+class://NHibernate/Type/TicksType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/TimeSpanType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/TimestampType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/TimeType;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/TrueFalseType;cs+class://NHibernate/Type/CharBooleanType;(not implemented)
cs+class://NHibernate/Type/TypeType;cs+class://NHibernate/Type/ImmutableType;(not implemented)
cs+class://NHibernate/Type/UInt16Type;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/UInt32Type;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/UInt64Type;cs+class://NHibernate/Type/PrimitiveType;(not implemented)
cs+class://NHibernate/Type/PrimitiveType;cs+class://NHibernate/Type/ImmutableType;(not implemented)
cs+class://NHibernate/Type/YesNoType;cs+class://NHibernate/Type/CharBooleanType;(not implemented)
cs+class://NHibernate/UnresolvableObjectException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/WrongClassException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Action/CollectionRecreateAction;cs+class://NHibernate/Action/CollectionAction;(not implemented)
cs+class://NHibernate/Action/CollectionRemoveAction;cs+class://NHibernate/Action/CollectionAction;(not implemented)
cs+class://NHibernate/Action/CollectionUpdateAction;cs+class://NHibernate/Action/CollectionAction;(not implemented)
cs+class://NHibernate/Action/EntityDeleteAction;cs+class://NHibernate/Action/EntityAction;(not implemented)
cs+class://NHibernate/Action/EntityIdentityInsertAction;cs+class://NHibernate/Action/EntityAction;(not implemented)
cs+class://NHibernate/Action/EntityInsertAction;cs+class://NHibernate/Action/EntityAction;(not implemented)
cs+class://NHibernate/Action/EntityUpdateAction;cs+class://NHibernate/Action/EntityAction;(not implemented)
cs+class://NHibernate/AdoNet/TooManyRowsAffectedException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Bytecode/HibernateByteCodeException;cs+class://NHibernate/HibernateException;(not implemented)
cs+class://NHibernate/Bytecode/UnableToLoadProxyFactoryFactoryException;cs+class://NHibernate/Bytecode/HibernateByteCodeException;(not implemented)
cs+class://NHibernate/Cfg/XmlHbmBinding/ColumnsBinder;cs+class://NHibernate/Cfg/XmlHbmBinding/Binder;(not implemented)
cs+class://NHibernate/Cfg/XmlHbmBinding/FiltersBinder;cs+class://NHibernate/Cfg/XmlHbmBinding/Binder;(not implemented)
cs+class://NHibernate/Cfg/XmlHbmBinding/IdGeneratorBinder;cs+class://NHibernate/Cfg/XmlHbmBinding/Binder;(not implemented)
cs+class://NHibernate/Cfg/XmlHbmBinding/PropertiesBinder;cs+class://NHibernate/Cfg/XmlHbmBinding/ClassBinder;(not implemented)
cs+class://NHibernate/Cfg/XmlHbmBinding/TypeBinder;cs+class://NHibernate/Cfg/XmlHbmBinding/Binder;(not implemented)
cs+class://NHibernate/Cfg/XmlHbmBinding/ValuePropertyBinder;cs+class://NHibernate/Cfg/XmlHbmBinding/Binder;(not implemented)
cs+class://NHibernate/Context/WcfOperationSessionContext;cs+class://NHibernate/Context/MapBasedSessionContext;(not implemented)
cs+class://NHibernate/Criterion/Lambda/QueryOverFetchBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverFetchBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/IQueryOverFetchBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverFetchBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/QueryOverJoinBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverJoinBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/IQueryOverJoinBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverJoinBuilderBase[3];(not implemented)
cs+class://NHibernate/Criterion/Lambda/QueryOverLockBuilder[2];cs+class://NHibernate/Criterion/Lambda/QueryOverLockBuilderBase[3];(not implemented)
