type;from;to;direct;marker;constants;systemType
II;cs+interface://Castle/Components/DictionaryAdapter/IBindingList[1];cs+interface://System/ComponentModel/ICancelAddNew;True;False;False;False
II;cs+interface://Castle/Components/DictionaryAdapter/IBindingList[1];cs+interface://System/ComponentModel/IRaiseItemChangedEvents;True;False;False;False
II;cs+interface://Castle/Components/DictionaryAdapter/ICollectionProjection;cs+interface://System/Collections/ICollection;True;False;False;False
CI;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://Castle/Components/DictionaryAdapter/IBindingList[1];True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://System/ComponentModel/IBindingList;True;False;False;False
CI;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://System/ComponentModel/IEditableObject;True;False;False;False
CI;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://System/ComponentModel/IRevertibleChangeTracking;True;False;False;False
CI;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://Castle/Components/DictionaryAdapter/ICollectionProjection;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/ListProjection[1];cs+interface://Castle/Components/DictionaryAdapter/ICollectionAdapterObserver[1];True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/VirtualObject[1];cs+interface://Castle/Components/DictionaryAdapter/IVirtual[1];True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/VirtualSite[2];cs+interface://Castle/Components/DictionaryAdapter/IVirtualSite[1];True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/VirtualSite[2];cs+interface://System/IEquatable[1];True;False;False;False
CI;cs+class://Castle/Components/DictionaryAdapter/Xml/DefaultXmlReferenceFormat;cs+interface://Castle/Components/DictionaryAdapter/Xml/IXmlReferenceFormat;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlCollectionAdapter[1];cs+interface://Castle/Components/DictionaryAdapter/ICollectionAdapter[1];True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/Xml/XmlCollectionAdapter[1];cs+interface://Castle/Components/DictionaryAdapter/Xml/IXmlNodeSource;True;False;False;True
II;cs+interface://Castle/Components/DictionaryAdapter/Xml/IXmlIterator;cs+interface://Castle/Components/DictionaryAdapter/Xml/IXmlNode;True;False;False;True
CC;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlNode;True;False;False;True
CI;cs+class://Castle/Components/DictionaryAdapter/Xml/SysXmlSubtreeIterator;cs+interface://Castle/Components/DictionaryAdapter/Xml/IXmlIterator;True;False;False;True
