fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Castle/Facilities/WcfIntegration/ContractLoadBalancePolicyFactory[1];cs+class://Castle/Facilities/WcfIntegration/AbstractLoadBalancePolicyFactory[1];UnknownType CreatePolicies(EndpointDiscoveryMetadata, UnknownType);UnknownType CreatePolicies(EndpointDiscoveryMetadata, UnknownType);CreatePolicies
cs+class://Castle/Facilities/WcfIntegration/ScopeLoadBalancePolicyFactory[1];cs+class://Castle/Facilities/WcfIntegration/ContractLoadBalancePolicyFactory[1];UnknownType CreatePolicies(EndpointDiscoveryMetadata, UnknownType);UnknownType CreatePolicies(EndpointDiscoveryMetadata, UnknownType);CreatePolicies
cs+class://Castle/Facilities/WcfIntegration/FirstAvailablePolicy;cs+class://Castle/Facilities/WcfIntegration/ListBasedLoadBalancePolicy;Void ChooseTarget(ChooseContext);Void ChooseTarget(ChooseContext);ChooseTarget
cs+class://Castle/Facilities/WcfIntegration/AdHocServiceCatalogProbe;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opening(ServiceHost);Void Opening(ServiceHost);Opening
cs+class://Castle/Facilities/WcfIntegration/RoundRobinPolicy;cs+class://Castle/Facilities/WcfIntegration/ListBasedLoadBalancePolicy;Void ChooseTarget(ChooseContext);Void ChooseTarget(ChooseContext);ChooseTarget
cs+class://Castle/Facilities/WcfIntegration/WcfDiscoveryExtension;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opening(ServiceHost);Void Opening(ServiceHost);Opening
cs+class://Castle/Facilities/WcfIntegration/WcfBehaviorActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Object Instantiate(CreationContext);Object Instantiate(CreationContext);InternalCreate
cs+class://Castle/Facilities/WcfIntegration/WcfMetadataExtension;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opening(ServiceHost);Void Opening(ServiceHost);Opening
cs+class://Castle/Facilities/WcfIntegration/Behaviors/CustomMessageFormatter;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageFormatter;String FormatMessage(Message, String);String FormatMessage(Message, String);Format
cs+class://Castle/Facilities/WcfIntegration/Async/WcfRemotingAsyncInterceptor;cs+class://Castle/Facilities/WcfIntegration/Proxy/WcfRemotingInterceptor;Void PerformInvocation(IInvocation);Void PerformInvocation(IInvocation);Intercept
cs+class://Castle/Facilities/WcfIntegration/Async/WcfRemotingAsyncInterceptor;cs+class://Castle/Facilities/WcfIntegration/Proxy/WcfRemotingInterceptor;Boolean Handles(MethodInfo);Boolean Handles(MethodInfo);Handles
cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCall[2];cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCallBase[1];Object GetDefaultReturnValue();Object GetDefaultReturnValue();Begin
cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCall[1];cs+class://Castle/Facilities/WcfIntegration/Async/AsyncWcfCallBase[1];Object GetDefaultReturnValue();Object GetDefaultReturnValue();Begin
cs+class://Castle/Facilities/WcfIntegration/DefaultChannelFactoryBuilder[1];cs+class://Castle/Facilities/WcfIntegration/AbstractChannelFactoryBuilder[1];ChannelFactory CreateChannelFactory(Type, UnknownType, UnknownType);ChannelFactory CreateChannelFactory(Type, UnknownType, UnknownType);CreateChannelFactory
cs+class://Castle/Facilities/WcfIntegration/Async/AsynChannelFactoryBuilder[1];cs+class://Castle/Facilities/WcfIntegration/DefaultChannelFactoryBuilder[1];ChannelFactory CreateChannelFactory(Type, UnknownType, UnknownType);ChannelFactory CreateChannelFactory(Type, UnknownType, UnknownType);CreateChannelFactory
cs+class://Castle/Facilities/WcfIntegration/AdHocServiceHostAware;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Created(ServiceHost);Void Created(ServiceHost);Created
cs+class://Castle/Facilities/WcfIntegration/AdHocServiceHostAware;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opening(ServiceHost);Void Opening(ServiceHost);Opening
cs+class://Castle/Facilities/WcfIntegration/AdHocServiceHostAware;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opened(ServiceHost);Void Opened(ServiceHost);Opened
cs+class://Castle/Facilities/WcfIntegration/AdHocServiceHostAware;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Closing(ServiceHost);Void Closing(ServiceHost);Closing
cs+class://Castle/Facilities/WcfIntegration/AdHocServiceHostAware;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Closed(ServiceHost);Void Closed(ServiceHost);Closed
cs+class://Castle/Facilities/WcfIntegration/AdHocServiceHostAware;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Faulted(ServiceHost);Void Faulted(ServiceHost);Faulted
cs+class://Castle/Facilities/WcfIntegration/RestChannelBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractChannelBuilder[1];Binding InferBinding(Uri);Binding InferBinding(Uri);GetEffectiveBinding
cs+class://Castle/Facilities/WcfIntegration/DefaultChannelBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractChannelBuilder[1];Binding InferBinding(Uri);Binding InferBinding(Uri);GetEffectiveBinding
cs+class://Castle/Facilities/WcfIntegration/WcfClientActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Object Instantiate(CreationContext);Object Instantiate(CreationContext);InternalCreate
cs+class://Castle/Facilities/WcfIntegration/WcfClientActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Void SetUpProperties(Object, CreationContext);Void SetUpProperties(Object, CreationContext);InternalCreate
cs+class://Castle/Facilities/WcfIntegration/WcfClientActivator;cs+class://Castle/MicroKernel/ComponentActivator/DefaultComponentActivator;Void ApplyDecommissionConcerns(Object);Void ApplyDecommissionConcerns(Object);InternalDestroy
cs+class://Castle/Facilities/WcfIntegration/DefaultServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];ServiceHost CreateServiceHost(ComponentModel, UnknownType);ServiceHost CreateServiceHost(ComponentModel, UnknownType);Build
cs+class://Castle/Facilities/WcfIntegration/DefaultServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];ServiceHost CreateServiceHost(Type, UnknownType);ServiceHost CreateServiceHost(Type, UnknownType);Build
cs+class://Castle/Facilities/WcfIntegration/Rest/RestServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];Binding GetDefaultBinding(ServiceHost, String);Binding GetDefaultBinding(ServiceHost, String);GetEffectiveBinding
cs+class://Castle/Facilities/WcfIntegration/Rest/RestServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];ServiceHost CreateServiceHost(ComponentModel, UnknownType);ServiceHost CreateServiceHost(ComponentModel, UnknownType);Build
cs+class://Castle/Facilities/WcfIntegration/Rest/RestServiceHostBuilder;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostBuilder[1];ServiceHost CreateServiceHost(Type, UnknownType);ServiceHost CreateServiceHost(Type, UnknownType);Build
cs+class://Castle/Facilities/WcfIntegration/WcfServiceKeyExtension;cs+class://Castle/Facilities/WcfIntegration/WcfExplicitExtension;Object ResolveExtension(IKernel);Object ResolveExtension(IKernel);GetInstance
cs+class://Castle/Facilities/WcfIntegration/WcfServiceTypeExtension;cs+class://Castle/Facilities/WcfIntegration/WcfExplicitExtension;Object ResolveExtension(IKernel);Object ResolveExtension(IKernel);GetInstance
cs+class://Castle/Facilities/WcfIntegration/WcfInstanceExtension;cs+class://Castle/Facilities/WcfIntegration/WcfExplicitExtension;Object ResolveExtension(IKernel);Object ResolveExtension(IKernel);GetInstance
cs+class://Castle/Facilities/WcfIntegration/ContractEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];Void Accept(IWcfEndpointVisitor);Void Accept(IWcfEndpointVisitor);Accept
cs+class://Castle/Facilities/WcfIntegration/ServiceEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];Void Accept(IWcfEndpointVisitor);Void Accept(IWcfEndpointVisitor);Accept
cs+class://Castle/Facilities/WcfIntegration/ConfigurationEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];Void Accept(IWcfEndpointVisitor);Void Accept(IWcfEndpointVisitor);Accept
cs+class://Castle/Facilities/WcfIntegration/BindingEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];Void Accept(IWcfEndpointVisitor);Void Accept(IWcfEndpointVisitor);Accept
cs+class://Castle/Facilities/WcfIntegration/BindingAddressEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];Void Accept(IWcfEndpointVisitor);Void Accept(IWcfEndpointVisitor);Accept
cs+class://Castle/Facilities/WcfIntegration/DiscoveredEndpointModel;cs+class://Castle/Facilities/WcfIntegration/WcfEndpointBase[1];Void Accept(IWcfEndpointVisitor);Void Accept(IWcfEndpointVisitor);Accept
cs+class://Castle/Facilities/WcfIntegration/WcfFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Dispose();Void Dispose();Dispose
cs+class://Castle/Facilities/WcfIntegration/WcfFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Init();Void Init();Init
cs+class://Castle/Facilities/WcfIntegration/WcfFacility;cs+class://Castle/MicroKernel/Facilities/AbstractFacility;Void Dispose();Void Dispose();Terminate
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/CaptureServiceHost;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opened(ServiceHost);Void Opened(ServiceHost);Opened
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/ServiceHostListener;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Created(ServiceHost);Void Created(ServiceHost);Created
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/ServiceHostListener;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opening(ServiceHost);Void Opening(ServiceHost);Opening
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/ServiceHostListener;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Opened(ServiceHost);Void Opened(ServiceHost);Opened
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/ServiceHostListener;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Closing(ServiceHost);Void Closing(ServiceHost);Closing
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/ServiceHostListener;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Closed(ServiceHost);Void Closed(ServiceHost);Closed
cs+class://Castle/Facilities/WcfIntegration/Tests/Behaviors/ServiceHostListener;cs+class://Castle/Facilities/WcfIntegration/AbstractServiceHostAware;Void Faulted(ServiceHost);Void Faulted(ServiceHost);Faulted
cs+class://Castle/Facilities/WcfIntegration/Tests/HelloFormatter;cs+class://Castle/Facilities/WcfIntegration/Behaviors/AbstractMessageFormatter;String FormatMessage(Message, String);String FormatMessage(Message, String);Format
