fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Raven/Database/Indexing/IndependentBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderIncreasingBatchSize
cs+class://Raven/Database/Indexing/IndependentBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderDecreasingBatchSize
cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCallsInReduce;cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCalls;Void AssertInvocationExpression(InvocationExpression);Void AssertInvocationExpression(InvocationExpression);VisitInvocationExpression
cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCallsInReduce;cs+class://Raven/Database/Linq/Ast/ThrowOnInvalidMethodCalls;Void AssertInvocationExpression(InvocationExpression, ParameterDeclaration);Void AssertInvocationExpression(InvocationExpression, ParameterDeclaration);HandleGroupBy
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);GetMessageWithObjectAsTask
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetMessageWithString(String, UnknownType, UnknownType);HttpResponseMessage GetMessageWithString(String, UnknownType, UnknownType);GetMessageWithStringAsTask
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);GetEmptyMessageAsTask
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteData
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteFileFromZip
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteFile
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);HttpResponseMessage GetEmptyMessage(UnknownType, UnknownType);WriteEmbeddedFileOfType
cs+class://Raven/Database/Server/Controllers/RavenDbApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);HttpResponseMessage GetMessageWithObject(Object, UnknownType, UnknownType);EmbeddedFileNotFound
cs+class://Raven/Database/Server/RavenFS/Util/SynchronizingFileStream;cs+class://Raven/Database/Server/RavenFS/Util/StorageStream;Void Flush();Void Flush();Write
cs+class://Raven/Database/Server/RavenFS/Util/SynchronizingFileStream;cs+class://Raven/Database/Server/RavenFS/Util/StorageStream;Void Flush();Void Flush();Dispose
cs+class://Lucene/Net/Search/Vectorhighlight/ScoreOrderFragmentsBuilder;cs+class://Lucene/Net/Search/Vectorhighlight/BaseFragmentsBuilder;List GetWeightedFragInfoList(List);List GetWeightedFragInfoList(List);CreateFragments
cs+class://Lucene/Net/Search/Vectorhighlight/SimpleFragmentsBuilder;cs+class://Lucene/Net/Search/Vectorhighlight/BaseFragmentsBuilder;List GetWeightedFragInfoList(List);List GetWeightedFragInfoList(List);CreateFragments
cs+class://Raven/Database/Indexing/LowerCaseWhitespaceAnalyzer;cs+class://Raven/Database/Indexing/LowerCaseKeywordAnalyzer;TokenStream TokenStream(String, TextReader);TokenStream TokenStream(String, TextReader);ReusableTokenStream
cs+class://Raven/Database/Indexing/LowerCaseWhitespaceTokenizer;cs+class://Raven/Database/Indexing/LowerCaseKeywordTokenizer;Boolean IsTokenChar(Char);Boolean IsTokenChar(Char);IncrementToken
cs+class://Raven/Database/Bundles/MoreLikeThis/RavenMoreLikeThis;cs+class://Lucene/Net/Search/Similar/MoreLikeThis;PriorityQueue RetrieveTerms(Int32);PriorityQueue RetrieveTerms(Int32);Like
cs+class://Raven/Database/Bundles/MoreLikeThis/RavenMoreLikeThis;cs+class://Lucene/Net/Search/Similar/MoreLikeThis;PriorityQueue RetrieveTerms(Int32);PriorityQueue RetrieveTerms(Int32);RetrieveInterestingTerms
cs+class://Raven/Database/Indexing/ReduceBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;Void RecordAmountOfItems(Int32);Void RecordAmountOfItems(Int32);AutoThrottleBatchSize
cs+class://Raven/Database/Indexing/ReduceBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderIncreasingBatchSize
cs+class://Raven/Database/Indexing/ReduceBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderDecreasingBatchSize
cs+class://Raven/Database/Indexing/IndexBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;Void RecordAmountOfItems(Int32);Void RecordAmountOfItems(Int32);AutoThrottleBatchSize
cs+class://Raven/Database/Indexing/IndexBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderIncreasingBatchSize
cs+class://Raven/Database/Indexing/IndexBatchSizeAutoTuner;cs+class://Raven/Database/Indexing/BaseBatchSizeAutoTuner;IEnumerable GetLastAmountOfItems();IEnumerable GetLastAmountOfItems();ConsiderDecreasingBatchSize
cs+class://Raven/Database/Plugins/Catalogs/BuiltinFilteringCatalog;cs+class://Raven/Database/Plugins/Catalogs/FilteredCatalog;Boolean IsMatch(ComposablePartDefinition);Boolean IsMatch(ComposablePartDefinition);(field initializer)
cs+class://Raven/Database/Plugins/Catalogs/BuiltinFilteringCatalog;cs+class://Raven/Database/Plugins/Catalogs/FilteredCatalog;Boolean IsMatch(ComposablePartDefinition);Boolean IsMatch(ComposablePartDefinition);GetExports
cs+class://Raven/Database/Plugins/Catalogs/BundlesFilteredCatalog;cs+class://Raven/Database/Plugins/Catalogs/FilteredCatalog;Boolean IsMatch(ExportDefinition);Boolean IsMatch(ExportDefinition);(field initializer)
