fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Gallio/Framework/Pattern/DefaultTestBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();(field initializer)
cs+class://Gallio/Framework/Pattern/DefaultTestBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();AddMetadata
cs+class://Gallio/Framework/Pattern/DefaultTestBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();ToTestComponent
cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;cs+class://Gallio/Framework/Pattern/BaseBuilder;ITestModelBuilder GetTestModelBuilder();ITestModelBuilder GetTestModelBuilder();RunDeferredAction
cs+class://Gallio/Framework/Pattern/DefaultTestDataContextBuilder;cs+class://Gallio/Framework/Pattern/BaseBuilder;ITestModelBuilder GetTestModelBuilder();ITestModelBuilder GetTestModelBuilder();RunDeferredAction
cs+class://Gallio/Framework/Pattern/DefaultTestModelBuilder;cs+class://Gallio/Framework/Pattern/BaseBuilder;ITestModelBuilder GetTestModelBuilder();ITestModelBuilder GetTestModelBuilder();RunDeferredAction
cs+class://Gallio/Framework/Pattern/DefaultTestParameterBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();(field initializer)
cs+class://Gallio/Framework/Pattern/DefaultTestParameterBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();(field initializer)
cs+class://Gallio/Framework/Pattern/DefaultTestParameterBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();(field initializer)
cs+class://Gallio/Framework/Pattern/DefaultTestParameterBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();(field initializer)
cs+class://Gallio/Framework/Pattern/DefaultTestParameterBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();AddMetadata
cs+class://Gallio/Framework/Pattern/DefaultTestParameterBuilder;cs+class://Gallio/Framework/Pattern/BaseTestComponentBuilder;IPatternTestComponent GetTestComponent();IPatternTestComponent GetTestComponent();ToTestComponent
cs+class://Gallio/Framework/Data/ConstantDataAccessor;cs+class://Gallio/Framework/Data/BaseDataAccessor;Object GetValueImpl(IDataItem);Object GetValueImpl(IDataItem);GetValue
cs+class://Gallio/Framework/Data/DataRow;cs+class://Gallio/Framework/Data/BaseDataItem;Void PopulateMetadataImpl(PropertyBag);Void PopulateMetadataImpl(PropertyBag);PopulateMetadata
cs+class://Gallio/Framework/Data/DataRow;cs+class://Gallio/Framework/Data/BaseDataItem;Object GetValueImpl(DataBinding);Object GetValueImpl(DataBinding);GetValue
cs+class://Gallio/Framework/Data/FactoryDataSet;cs+class://Gallio/Framework/Data/BaseDataSet;Boolean CanBindImpl(DataBinding);Boolean CanBindImpl(DataBinding);CanBind
cs+class://Gallio/Framework/Data/FactoryDataSet;cs+class://Gallio/Framework/Data/BaseDataSet;IEnumerable GetItemsImpl(ICollection, Boolean);IEnumerable GetItemsImpl(ICollection, Boolean);GetItems
cs+class://Gallio/Framework/Data/ObjectDataBinder;cs+class://Gallio/Framework/Data/BaseDataBinder;IDataAccessor RegisterImpl(DataBindingContext, IDataSourceResolver);IDataAccessor RegisterImpl(DataBindingContext, IDataSourceResolver);Register
cs+class://Gallio/Framework/Data/ObjectDataBinder/Accessor;cs+class://Gallio/Framework/Data/BaseDataAccessor;Object GetValueImpl(IDataItem);Object GetValueImpl(IDataItem);GetValue
cs+class://Gallio/Framework/Data/BoundDataAccessor;cs+class://Gallio/Framework/Data/BaseDataAccessor;Object GetValueImpl(IDataItem);Object GetValueImpl(IDataItem);GetValue
cs+class://Gallio/Framework/Data/ScalarDataBinder;cs+class://Gallio/Framework/Data/BaseDataBinder;IDataAccessor RegisterImpl(DataBindingContext, IDataSourceResolver);IDataAccessor RegisterImpl(DataBindingContext, IDataSourceResolver);Register
cs+class://Gallio/Framework/Data/SimpleDataItem;cs+class://Gallio/Framework/Data/BaseDataItem;Void PopulateMetadataImpl(PropertyBag);Void PopulateMetadataImpl(PropertyBag);PopulateMetadata
cs+class://Gallio/Model/DefaultTestFrameworkManager/FilteredTestDriver;cs+class://Gallio/Model/BaseTestDriver;IList GetTestPartsImpl(IReflectionPolicy, ICodeElementInfo);IList GetTestPartsImpl(IReflectionPolicy, ICodeElementInfo);GetTestParts
cs+class://Gallio/Model/DefaultTestFrameworkManager/FilteredTestDriver;cs+class://Gallio/Model/BaseTestDriver;Void DescribeImpl(IReflectionPolicy, IList, TestExplorationOptions, IMessageSink, IProgressMonitor);Void DescribeImpl(IReflectionPolicy, IList, TestExplorationOptions, IMessageSink, IProgressMonitor);Describe
cs+class://Gallio/Model/DefaultTestFrameworkManager/FilteredTestDriver;cs+class://Gallio/Model/BaseTestDriver;Void ExploreImpl(ITestIsolationContext, TestPackage, TestExplorationOptions, IMessageSink, IProgressMonitor);Void ExploreImpl(ITestIsolationContext, TestPackage, TestExplorationOptions, IMessageSink, IProgressMonitor);Explore
cs+class://Gallio/Model/DefaultTestFrameworkManager/FilteredTestDriver;cs+class://Gallio/Model/BaseTestDriver;Void RunImpl(ITestIsolationContext, TestPackage, TestExplorationOptions, TestExecutionOptions, IMessageSink, IProgressMonitor);Void RunImpl(ITestIsolationContext, TestPackage, TestExplorationOptions, TestExecutionOptions, IMessageSink, IProgressMonitor);Run
cs+class://Gallio/Runner/DefaultTestRunner/TappedLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runner/DefaultTestRunner/TappedLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Conversions/NullConverter;cs+class://Gallio/Runtime/Conversions/BaseConverter;ConversionCost GetConversionCostImpl(Type, Type);ConversionCost GetConversionCostImpl(Type, Type);GetConversionCost
cs+class://Gallio/Runtime/Conversions/NullConverter;cs+class://Gallio/Runtime/Conversions/BaseConverter;Object ConvertImpl(Object, Type);Object ConvertImpl(Object, Type);Convert
cs+class://Gallio/Runtime/Conversions/NullConverter;cs+class://Gallio/Runtime/Conversions/BaseConverter;ConversionCost GetConversionCostImpl(Type, Type);ConversionCost GetConversionCostImpl(Type, Type);CanConvertImpl
cs+class://Gallio/Runtime/Conversions/RuleBasedConverter;cs+class://Gallio/Runtime/Conversions/BaseConverter;ConversionCost GetConversionCostImpl(Type, Type);ConversionCost GetConversionCostImpl(Type, Type);GetConversionCost
cs+class://Gallio/Runtime/Conversions/RuleBasedConverter;cs+class://Gallio/Runtime/Conversions/BaseConverter;Object ConvertImpl(Object, Type);Object ConvertImpl(Object, Type);Convert
cs+class://Gallio/Runtime/Conversions/RuleBasedConverter;cs+class://Gallio/Runtime/Conversions/BaseConverter;ConversionCost GetConversionCostImpl(Type, Type);ConversionCost GetConversionCostImpl(Type, Type);CanConvertImpl
cs+class://Gallio/Runtime/Extensibility/CachingPluginLoader;cs+class://Gallio/Runtime/Extensibility/PluginLoader;Void LoadPlugins(UnknownType, IProgressMonitor);Void LoadPlugins(UnknownType, IProgressMonitor);PopulateCatalog
cs+class://Gallio/Runtime/Extensibility/ComponentHandle[2];cs+class://Gallio/Runtime/Extensibility/ComponentHandle;Object GetComponentImpl();Object GetComponentImpl();GetComponent
cs+class://Gallio/Runtime/Extensibility/ComponentHandle[2];cs+class://Gallio/Runtime/Extensibility/ComponentHandle;Traits GetTraitsImpl();Traits GetTraitsImpl();GetTraits
cs+class://Gallio/Runtime/Logging/DispatchLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/DispatchLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/ConsoleSupport/RichConsoleLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/ConsoleSupport/RichConsoleLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Hosting/LocalHost;cs+class://Gallio/Runtime/Hosting/BaseHost;Void Dispose(Boolean);Void Dispose(Boolean);Dispose
cs+class://Gallio/Runtime/Hosting/LocalHost;cs+class://Gallio/Runtime/Hosting/BaseHost;IHostService AcquireHostService();IHostService AcquireHostService();Connect
cs+class://Gallio/Runtime/Hosting/LocalHost;cs+class://Gallio/Runtime/Hosting/BaseHost;Void ReleaseHostService(IHostService);Void ReleaseHostService(IHostService);Disconnect
cs+class://Gallio/Runtime/Hosting/LocalHostFactory;cs+class://Gallio/Runtime/Hosting/BaseHostFactory;IHost CreateHostImpl(HostSetup, ILogger);IHost CreateHostImpl(HostSetup, ILogger);CreateHost
cs+class://Gallio/Runtime/Logging/FilteredLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/FilteredLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/NullLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/NullLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/SeverityPrefixLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/SeverityPrefixLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/TextLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/Logging/TextLogger;cs+class://Gallio/Runtime/Logging/BaseLogger;Void LogImpl(UnknownType, String, ExceptionData);Void LogImpl(UnknownType, String, ExceptionData);Log
cs+class://Gallio/Runtime/ProgressMonitoring/LogProgressMonitorPresenter;cs+class://Gallio/Runtime/ProgressMonitoring/BaseProgressMonitorPresenter;Void Initialize();Void Initialize();Present
cs+class://Gallio/Runtime/ProgressMonitoring/LogProgressMonitorProvider;cs+class://Gallio/Runtime/ProgressMonitoring/BaseProgressMonitorProvider;IProgressMonitorPresenter GetPresenter();IProgressMonitorPresenter GetPresenter();Run
cs+class://Gallio/Runtime/ProgressMonitoring/NullProgressMonitorProvider;cs+class://Gallio/Runtime/ProgressMonitoring/BaseProgressMonitorProvider;IProgressMonitorPresenter GetPresenter();IProgressMonitorPresenter GetPresenter();Run
cs+class://Gallio/Runtime/ProgressMonitoring/ObservableProgressMonitor;cs+class://Gallio/Runtime/ProgressMonitoring/CancelableProgressMonitor;Void OnCancel();Void OnCancel();Cancel
