type;from;to;direct;marker;constants;systemType
CC;cs+class://Spring/Context/Attributes/ConfigurationClass/ObjectMethodOverloadingProblem;cs+class://Spring/Objects/Factory/Parsing/Problem;True;False;False;True
CI;cs+class://Spring/Context/Attributes/ConfigurationClassAssemblyResource;cs+interface://Spring/Core/IO/IResource;True;False;False;True
CI;cs+class://Spring/Context/Attributes/ConfigurationClassEnhancer/ConfigurationClassInterceptor;cs+interface://Spring/Context/Attributes/ConfigurationClassEnhancer/IConfigurationClassInterceptor;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClassEnhancer/ConfigurationClassProxyTypeBuilder;cs+class://Spring/Proxy/InheritanceProxyTypeBuilder;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClassEnhancer/ConfigurationClassProxyMethodBuilder;cs+class://Spring/Proxy/AbstractProxyMethodBuilder;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClassMethod/MethodWithParametersError;cs+class://Spring/Objects/Factory/Parsing/Problem;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClassMethod/NonVirtualMethodError;cs+class://Spring/Objects/Factory/Parsing/Problem;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClassMethod/StaticMethodError;cs+class://Spring/Objects/Factory/Parsing/Problem;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClassObjectDefinitionReader/ConfigurationClassObjectDefinition;cs+class://Spring/Objects/Factory/Support/RootObjectDefinition;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ConfigurationClassParser/CircularImportProblem;cs+class://Spring/Objects/Factory/Parsing/Problem;True;False;False;True
CI;cs+class://Spring/Context/Attributes/ConfigurationClassPostProcessor;cs+interface://Spring/Objects/Factory/Support/IObjectDefinitionRegistryPostProcessor;True;False;False;True
CI;cs+class://Spring/Context/Attributes/ConfigurationClassPostProcessor;cs+interface://Spring/Core/IOrdered;True;False;False;True
CC;cs+class://Spring/Context/Attributes/DependsOnAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Spring/Context/Attributes/ImportAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Spring/Context/Attributes/ImportResourceAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Spring/Context/Attributes/LazyAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Spring/Context/Attributes/ObjectDefAttribute;cs+class://System/Attribute;True;False;False;False
CC;cs+class://Spring/Context/Attributes/RequiredConstraintAssemblyTypeScanner;cs+class://Spring/Context/Attributes/AssemblyTypeScanner;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ScannedGenericObjectDefinition;cs+class://Spring/Objects/Factory/Support/GenericObjectDefinition;True;False;False;True
CC;cs+class://Spring/Context/Attributes/ScopeAttribute;cs+class://System/Attribute;True;False;False;False
CI;cs+class://Spring/Context/Attributes/TypeFilters/AbstractLoadTypeFilter;cs+interface://Spring/Context/Attributes/TypeFilters/ITypeFilter;True;False;False;True
CC;cs+class://Spring/Context/Attributes/TypeFilters/AssignableTypeFilter;cs+class://Spring/Context/Attributes/TypeFilters/AbstractLoadTypeFilter;True;False;False;True
CC;cs+class://Spring/Context/Attributes/TypeFilters/AttributeTypeFilter;cs+class://Spring/Context/Attributes/TypeFilters/AbstractLoadTypeFilter;True;False;False;True
CI;cs+class://Spring/Context/Attributes/TypeFilters/RegexPatternTypeFilter;cs+interface://Spring/Context/Attributes/TypeFilters/ITypeFilter;True;False;False;True
CI;cs+class://Spring/Context/Config/AttributeConfigObjectDefinitionParser;cs+interface://Spring/Objects/Factory/Xml/IObjectDefinitionParser;True;False;False;True
CI;cs+class://Spring/Context/Config/ComponentScanObjectDefinitionParser;cs+interface://Spring/Objects/Factory/Xml/IObjectDefinitionParser;True;False;False;True
CC;cs+class://Spring/Context/Config/ContextNamespaceParser;cs+class://Spring/Objects/Factory/Xml/NamespaceParserSupport;True;False;False;True
CC;cs+class://Spring/Context/EventListenerAttribute;cs+class://System/Attribute;True;False;False;False
