Field guide:
#;alphabetical numbering per study
Domain;Categorization of the system
PVar;Proportion of 'var' keyword usage
Type;Replication study or data from original study
Language;C# or Java
Name;System name
Remaining fields;See https://www.cs.auckland.ac.nz/~ewan/qualitas/studies/inheritance/docs.html#Metrics
#;Domain;Pvar;Type;Language;Name;nExplicitCC;nCCUsed;pCCUsed;nCCDC;pCCDC;nCCSubtype;pCCSubtype;nCCExreuseNoSubtype;pCCExreuseNoSubtype;nCCUsedOnlyInRe;pCCUsedOnlyInRe;nCCUnexplSuper;pCCUnexplSuper;nCCUnexplCategory;pCCUnexplCategory;nCCUnknown;pCCUnknown;nExplicitCI;nOnlyCISubtype;pOnlyCISubtype;nExplainedCI;pExplainedCI;nCategoryExplCI;pCategoryExplCI;nUnexplainedCI;pUnexplainedCI;nExplicitII;nIISubtype;pIISubtype;nOnlyIIReuse;pOnlyIIReuse;nExplainedII;pExplainedII;nCategoryExplII;pCategoryExplII;nUnexplainedII;pUnexplainedII
85;parsers/generators/make;0;Replication Study;Java;xalan-2.7.1;568;524;0,922535;222;0,390845;489;0,933206;7;0,013358;28;0,053435;3;0,005281;4;0,007042;1;0,00176;236;193;0,817796;10;0,042372;14;0,059322;19;0,080508;118;40;0,338983;2;0,016949;0;0;7;0,059322;69;0,584745
86;parsers/generators/make;0;Replication Study;Java;xerces-2.10.0;371;332;0,894878;85;0,22911;210;0,63253;20;0,06024;102;0,307228;1;0,002695;1;0,002695;20;0,053908;260;169;0,65;29;0,111538;20;0,076923;42;0,161538;85;41;0,482352;1;0,011764;35;0,411764;5;0,058823;3;0,035294
1;parsers/generators/make;0;Original Study;Java;ant-1.8.1;672;670;0,997;190;0,2827;527;0,7866;135;0,2015;8;0,0119;2;0,003;0;0;0;0;290;184;0,6345;43;0,1483;44;0,1517;19;0,0655;18;17;0,9444;1;0,0556;0;0;0;0;0;0
2;parsers/generators/make;0;Original Study;Java;antlr-3.2;245;244;0,9959;73;0,298;84;0,3443;157;0,6434;3;0,0123;0;0;1;0,0041;0;0;67;39;0,5821;17;0,2537;5;0,0746;6;0,0896;3;3;1;0;0;0;0;0;0;0;0
3;3D/graphics/media;0;Original Study;Java;aoi-2.8.1;222;221;0,9955;75;0,3378;212;0,9593;9;0,0407;0;0;1;0,0045;0;0;0;0;144;126;0,875;0;0;7;0,0486;11;0,0764;2;2;1;0;0;0;0;0;0;0;0
4;diagram generator/data visualization;0;Original Study;Java;argouml-0.30.2;1623;1615;0,9951;410;0,2526;1443;0,8935;124;0,0768;48;0,0297;0;0;2;0,0012;6;0,0037;433;308;0,7113;60;0,1386;30;0,0693;35;0,0808;49;28;0,5714;5;0,102;16;0,3265;0;0;0;0
5;programming language;0;Original Study;Java;aspectj-1.6.9;1142;1135;0,9939;525;0,4597;1021;0,8996;93;0,0819;21;0,0185;4;0,0035;1;0,0009;2;0,0018;626;464;0,7412;122;0,1949;9;0,0144;31;0,0495;110;84;0,7636;9;0,0818;2;0,0182;8;0,0727;7;0,0636
6;database;0;Original Study;Java;axion-1.0-M2;130;129;0,9923;58;0,4462;113;0,876;8;0,062;8;0,062;0;0;0;0;0;0;108;76;0,7037;27;0,25;1;0,0093;4;0,037;13;11;0,8462;2;0,1538;0;0;0;0;0;0
7;database;0;Original Study;Java;c_jdbc-2.0.2;293;293;1;132;0,4505;184;0,628;98;0,3345;11;0,0375;0;0;0;0;0;0;30;8;0,2667;1;0,0333;0;0;21;0,7;0;0;?;0;?;0;?;0;?;0;?
8;middleware;0;Original Study;Java;castor-1.3.1;928;924;0,9957;491;0,5291;624;0,6753;275;0,2976;25;0,0271;0;0;0;0;0;0;221;146;0,6606;14;0,0633;16;0,0724;45;0,2036;25;18;0,72;4;0,16;0;0;1;0,04;2;0,08
9;database;0;Original Study;Java;cayenne-3.0.1;940;869;0,9245;290;0,3085;732;0,8423;104;0,1197;33;0,038;52;0,0553;10;0,0106;2;0,0021;453;397;0,8764;14;0,0309;17;0,0375;25;0,0552;10;8;0,8;2;0,2;0;0;0;0;0;0
10;IDE;0;Original Study;Java;checkstyle-5.1;193;192;0,9948;88;0,456;21;0,1094;168;0,875;3;0,0156;0;0;0;0;0;0;29;20;0,6897;3;0,1034;3;0,1034;3;0,1034;2;0;0;0;0;0;0;0;0;2;1
11;testing;0;Original Study;Java;cobertura-1.9.4.1;17;17;1;5;0,2941;12;0,7059;1;0,0588;4;0,2353;0;0;0;0;0;0;33;9;0,2727;23;0,697;0;0;1;0,0303;0;0;?;0;?;0;?;0;?;0;?
12;SDK;0;Original Study;Java;colt-1.2.0;196;183;0,9337;88;0,449;103;0,5628;67;0,3661;13;0,071;0;0;0;0;1;0,0051;285;271;0,9509;0;0;6;0,0211;8;0,0281;3;0;0;3;1;0;0;0;0;0;0
13;tool/other;0;Original Study;Java;columba-1.0;447;411;0,9195;124;0,2774;219;0,5328;190;0,4623;2;0,0049;0;0;0;0;28;0,0626;242;190;0,7851;4;0,0165;8;0,0331;40;0,1653;21;20;0,9524;1;0,0476;0;0;0;0;0;0
14;database;0;Original Study;Java;derby-10.6.1.0;697;695;0,9971;337;0,4835;644;0,9266;50;0,0719;1;0,0014;0;0;0;0;0;0;525;431;0,821;29;0,0552;21;0,04;44;0,0838;91;73;0,8022;16;0,1758;1;0,011;0;0;1;0,011
15;diagram generator/data visualization;0;Original Study;Java;displaytag-1.2;20;20;1;6;0,3;3;0,15;16;0,8;1;0,05;0;0;0;0;0;0;31;16;0,5161;0;0;10;0,3226;5;0,1613;2;2;1;0;0;0;0;0;0;0;0
16;3D/graphics/media;0;Original Study;Java;drawswf-1.2.9;112;103;0,9196;39;0,3482;83;0,8058;15;0,1456;5;0,0485;0;0;0;0;8;0,0714;50;40;0,8;9;0,18;1;0,02;0;0;4;2;0,5;2;0,5;0;0;0;0;0;0
17;IDE;0;Original Study;Java;drjava-stable-20100913-r5387;1269;1233;0,9716;493;0,3885;1043;0,8459;157;0,1273;33;0,0268;8;0,0063;0;0;0;0;1119;914;0,8168;91;0,0813;79;0,0706;35;0,0313;86;57;0,6628;23;0,2674;0;0;3;0,0349;3;0,0349
18;testing;0;Original Study;Java;emma-2.0.5312;85;85;1;41;0,4824;79;0,9294;6;0,0706;0;0;0;0;0;0;0;0;80;40;0,5;25;0,3125;3;0,0375;12;0,15;16;6;0,375;9;0,5625;1;0,0625;0;0;0;0
19;diagram generator/data visualization;0;Original Study;Java;exoportal-v1.0.2;378;365;0,9656;118;0,3122;176;0,4822;167;0,4575;22;0,0603;1;0,0026;0;0;6;0,0159;238;122;0,5126;3;0,0126;17;0,0714;96;0,4034;27;9;0,3333;12;0,4444;0;0;0;0;6;0,2222
20;testing;0;Original Study;Java;findbugs-1.3.9;445;443;0,9955;87;0,1955;353;0,7968;81;0,1828;9;0,0203;0;0;0;0;0;0;401;231;0,5761;79;0,197;21;0,0524;70;0,1746;24;15;0,625;4;0,1667;5;0,2083;0;0;0;0
21;testing;0;Original Study;Java;fitjava-1.1;43;43;1;17;0,3953;35;0,814;8;0,186;0;0;0;0;0;0;0;0;0;0;?;0;?;0;?;0;?;0;0;?;0;?;0;?;0;?;0;?
22;testing;0;Original Study;Java;fitlibraryforfitnesse-20100806;259;218;0,8417;42;0,1622;180;0,8257;22;0,1009;16;0,0734;0;0;0;0;8;0,0309;203;131;0,6453;34;0,1675;30;0,1478;8;0,0394;29;21;0,7241;4;0,1379;0;0;0;0;4;0,1379
23;games;0;Original Study;Java;freecol-0.9.4;392;387;0,9872;138;0,352;336;0,8682;50;0,1292;1;0,0026;1;0,0026;0;0;0;0;127;106;0,8346;13;0,1024;5;0,0394;3;0,0236;3;2;0,6667;1;0,3333;0;0;0;0;0;0
24;tool/other;0;Original Study;Java;freecs-1.3.20100406;61;61;1;0;0;60;0,9836;1;0,0164;0;0;0;0;0;0;0;0;25;16;0,64;5;0,2;0;0;4;0,16;0;0;?;0;?;0;?;0;?;0;?
25;3D/graphics/media;0;Original Study;Java;galleon-2.3.0;228;208;0,9123;130;0,5702;120;0,5769;88;0,4231;0;0;0;0;0;0;0;0;76;60;0,7895;14;0,1842;2;0,0263;0;0;0;0;?;0;?;0;?;0;?;0;?
26;tool/other;0;Original Study;Java;ganttproject-2.0.9;269;264;0,9814;56;0,2082;193;0,7311;57;0,2159;14;0,053;1;0,0037;0;0;1;0,0037;254;216;0,8504;10;0,0394;15;0,0591;13;0,0512;18;10;0,5556;8;0,4444;0;0;0;0;0;0
27;tool/other;0;Original Study;Java;heritrix-1.14.4;297;288;0,9697;56;0,1886;220;0,7639;65;0,2257;3;0,0104;5;0,0168;0;0;4;0,0135;168;71;0,4226;89;0,5298;1;0,006;7;0,0417;8;3;0,375;2;0,25;3;0,375;0;0;0;0
28;Persistence Object Mapper;0;Original Study;Java;hibernate-3.6.0-beta4;875;855;0,9771;250;0,2857;655;0,7661;171;0,2;29;0,0339;12;0,0137;0;0;7;0,008;879;669;0,7611;106;0,1206;30;0,0341;74;0,0842;89;68;0,764;19;0,2135;1;0,0112;1;0,0112;0;0
29;database;0;Original Study;Java;hsqldb-2.0.0;143;142;0,993;83;0,5804;117;0,8239;21;0,1479;4;0,0282;0;0;0;0;0;0;92;82;0,8913;1;0,0109;8;0,087;1;0,0109;7;4;0,5714;2;0,2857;0;0;1;0,1429;0;0
30;testing;0;Original Study;Java;htmlunit-2.8;458;454;0,9913;138;0,3013;445;0,9802;8;0,0176;1;0,0022;0;0;0;0;2;0,0044;136;121;0,8897;0;0;8;0,0588;7;0,0515;6;6;1;0;0;0;0;0;0;0;0
31;middleware;0;Original Study;Java;informa-0.7.0-alpha2;6;6;1;1;0,1667;5;0,8333;1;0,1667;0;0;0;0;0;0;0;0;56;35;0,625;1;0,0179;3;0,0536;17;0,3036;46;0;0;29;0,6304;0;0;0;0;17;0,3696
32;diagram generator/data visualization;0;Original Study;Java;ireport-3.7.5;713;704;0,9874;588;0,8247;133;0,1889;557;0,7912;14;0,0199;0;0;0;0;0;0;112;59;0,5268;6;0,0536;5;0,0446;42;0,375;0;0;?;0;?;0;?;0;?;0;?
33;diagram generator/data visualization;0;Original Study;Java;itext-5.0.3;178;178;1;54;0,3034;136;0,764;41;0,2303;1;0,0056;0;0;0;0;0;0;94;70;0,7447;1;0,0106;3;0,0319;20;0,2128;4;3;0,75;1;0,25;0;0;0;0;0;0
34;tool/other;0;Original Study;Java;james-2.2.0;124;123;0,9919;46;0,371;21;0,1707;95;0,7724;7;0,0569;0;0;0;0;0;0;74;35;0,473;18;0,2432;4;0,0541;17;0,2297;3;2;0,6667;1;0,3333;0;0;0;0;0;0
35;tool/other;0;Original Study;Java;jasml-0.10;21;21;1;0;0;21;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0;0;0;0;?;0;?;0;?;0;?;0;?
36;parsers/generators/make;0;Original Study;Java;javacc-5.0;88;88;1;15;0,1705;69;0,7841;19;0,2159;0;0;0;0;0;0;0;0;18;9;0,5;9;0,5;0;0;0;0;0;0;?;0;?;0;?;0;?;0;?
37;SDK;0;Original Study;Java;jchempaint-3.0.1;357;354;0,9916;89;0,2493;281;0,7938;70;0,1977;3;0,0085;0;0;0;0;0;0;311;136;0,4373;18;0,0579;47;0,1511;110;0,3537;51;42;0,8235;5;0,098;1;0,0196;1;0,0196;2;0,0392
38;tool/other;0;Original Study;Java;jedit-4.3.2;227;212;0,9339;64;0,2819;195;0,9198;13;0,0613;4;0,0189;0;0;0;0;0;0;167;103;0,6168;20;0,1198;19;0,1138;25;0,1497;0;0;?;0;?;0;?;0;?;0;?
39;diagram generator/data visualization;0;Original Study;Java;jext-5.0;228;221;0,9693;1;0,0044;153;0,6923;68;0,3077;0;0;0;0;0;0;7;0,0307;43;20;0,4651;20;0,4651;0;0;3;0,0698;0;0;?;0;?;0;?;0;?;0;?
40;SDK;0;Original Study;Java;jFin_DateMath-R1.0.1;22;22;1;19;0,8636;19;0,8636;3;0,1364;0;0;0;0;0;0;0;0;2;1;0,5;0;0;0;0;1;0,5;0;0;?;0;?;0;?;0;?;0;?
41;tool/other;0;Original Study;Java;jfreechart-1.0.13;315;311;0,9873;159;0,5048;291;0,9357;19;0,0611;1;0,0032;0;0;0;0;0;0;390;360;0,9231;13;0,0333;8;0,0205;9;0,0231;40;33;0,825;7;0,175;0;0;0;0;0;0
42;tool/other;0;Original Study;Java;jgraph-5.13.0.0;36;36;1;19;0,5278;25;0,6944;10;0,2778;1;0,0278;0;0;0;0;0;0;61;43;0,7049;0;0;3;0,0492;15;0,2459;3;3;1;0;0;0;0;0;0;0;0
43;tool/other;0;Original Study;Java;jgraphpad-5.10.0.2;236;236;1;33;0,1398;222;0,9407;14;0,0593;0;0;0;0;0;0;0;0;27;16;0,5926;9;0,3333;1;0,037;1;0,037;0;0;?;0;?;0;?;0;?;0;?
44;tool/other;0;Original Study;Java;jgrapht-0.8.1;74;72;0,973;16;0,2162;50;0,6944;20;0,2778;2;0,0278;0;0;0;0;0;0;101;67;0,6634;4;0,0396;14;0,1386;16;0,1584;6;5;0,8333;1;0,1667;0;0;0;0;0;0
45;tool/other;0;Original Study;Java;jgroups-2.10.0;324;317;0,9784;103;0,3179;209;0,6593;105;0,3312;3;0,0095;0;0;0;0;2;0,0062;229;198;0,8646;6;0,0262;10;0,0437;15;0,0655;10;10;1;0;0;0;0;0;0;0;0
46;3D/graphics/media;0;Original Study;Java;jhotdraw-7.5.1;346;344;0,9942;97;0,2803;232;0,6744;101;0,2936;11;0,032;0;0;0;0;0;0;138;109;0,7899;9;0,0652;11;0,0797;9;0,0652;14;14;1;0;0;0;0;0;0;0;0
47;testing;0;Original Study;Java;jmeter-2.4;743;716;0,9637;248;0,3338;543;0,7584;108;0,1508;65;0,0908;0;0;0;0;11;0,0148;626;367;0,5863;114;0,1821;52;0,0831;93;0,1486;20;14;0,7;1;0,05;1;0,05;0;0;4;0,2
48;tool/other;0;Original Study;Java;jmoney-0.4.4;21;21;1;15;0,7143;17;0,8095;4;0,1905;0;0;0;0;0;0;0;0;16;4;0,25;12;0,75;0;0;0;0;0;0;?;0;?;0;?;0;?;0;?
49;3D/graphics/media;0;Original Study;Java;joggplayer-1.1.4s;17;17;1;10;0,5882;12;0,7059;1;0,0588;4;0,2353;0;0;0;0;0;0;5;5;1;0;0;0;0;0;0;0;0;?;0;?;0;?;0;?;0;?
50;parsers/generators/make;0;Original Study;Java;jparse-0.96;55;55;1;9;0,1636;19;0,3455;36;0,6545;0;0;0;0;0;0;0;0;41;6;0,1463;35;0,8537;0;0;0;0;2;0;0;1;0,5;0;0;1;0,5;0;0
51;SDK;0;Original Study;Java;jpf-1.0.2;37;37;1;2;0,0541;15;0,4054;11;0,2973;11;0,2973;0;0;0;0;0;0;44;27;0,6136;0;0;13;0,2955;4;0,0909;19;16;0,8421;2;0,1053;0;0;0;0;1;0,0526
52;testing;0;Original Study;Java;jrat-0.6;34;31;0,9118;28;0,8235;21;0,6774;9;0,2903;1;0,0323;0;0;0;0;0;0;37;24;0,6486;9;0,2432;4;0,1081;0;0;0;0;?;0;?;0;?;0;?;0;?
53;SDK;0;Original Study;Java;jre-1.5.0_22;5735;4778;0,8331;534;0,0931;4550;0,9523;205;0,0429;23;0,0048;4;0,0007;472;0,0823;465;0,0811;5102;4194;0,822;438;0,0858;333;0,0653;137;0,0269;799;568;0,7109;35;0,0438;31;0,0388;59;0,0738;106;0,1327
54;tool/other;0;Original Study;Java;jrefactory-2.9.19;695;649;0,9338;154;0,2216;556;0,8567;66;0,1017;27;0,0416;0;0;0;0;6;0,0086;128;80;0,625;23;0,1797;4;0,0312;21;0,1641;1;1;1;0;0;0;0;0;0;0;0
55;programming language;0;Original Study;Java;jruby-1.5.2;3671;3654;0,9954;2715;0,7396;3408;0,9327;55;0,0151;191;0,0523;0;0;0;0;12;0,0033;735;635;0,8639;28;0,0381;55;0,0748;17;0,0231;12;7;0,5833;5;0,4167;0;0;0;0;0;0
56;middleware;0;Original Study;Java;jspwiki-2.8.4;155;152;0,9806;69;0,4452;51;0,3355;76;0,5;25;0,1645;2;0,0129;0;0;0;0;83;42;0,506;5;0,0602;27;0,3253;9;0,1084;6;1;0,1667;5;0,8333;0;0;0;0;0;0
57;tool/other;0;Original Study;Java;jsXe-04_beta;11;10;0,9091;5;0,4545;5;0,5;3;0,3;2;0,2;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;?;0;?;0;?;0;?;0;?
58;middleware;0;Original Study;Java;jtopen-7.1;1347;1304;0,9681;481;0,3571;858;0,658;410;0,3144;36;0,0276;16;0,0119;0;0;5;0,0037;687;407;0,5924;179;0,2606;57;0,083;44;0,064;16;14;0,875;1;0,0625;0;0;0;0;1;0,0625
59;diagram generator/data visualization;0;Original Study;Java;jung-2.0.1;166;166;1;67;0,4036;111;0,6687;44;0,2651;11;0,0663;0;0;0;0;0;0;195;138;0,7077;14;0,0718;31;0,159;12;0,0615;18;11;0,6111;7;0,3889;0;0;0;0;0;0
60;testing;0;Original Study;Java;junit-4.8.2;84;83;0,9881;32;0,381;54;0,6506;29;0,3494;0;0;0;0;1;0,0119;0;0;29;16;0,5517;4;0,1379;4;0,1379;5;0,1724;0;0;?;0;?;0;?;0;?;0;?
61;testing;0;Original Study;Java;log4j-1.2.16;87;83;0,954;54;0,6207;34;0,4096;43;0,5181;6;0,0723;1;0,0115;0;0;0;0;39;26;0,6667;1;0,0256;10;0,2564;2;0,0513;1;1;1;0;0;0;0;0;0;0;0
62;tool/other;0;Original Study;Java;lucene-2.4.1;446;436;0,9776;209;0,4686;316;0,7248;112;0,2569;8;0,0183;6;0,0135;2;0,0045;0;0;139;97;0,6978;10;0,0719;20;0,1439;12;0,0863;6;5;0,8333;1;0,1667;0;0;0;0;0;0
63;games;0;Original Study;Java;marauroa-3.8.1;65;65;1;8;0,1231;50;0,7692;15;0,2308;0;0;0;0;0;0;0;0;23;21;0,913;0;0;0;0;2;0,087;0;0;?;0;?;0;?;0;?;0;?
64;parsers/generators/make;0;Original Study;Java;maven-3.0;78;75;0,9615;39;0,5;51;0,68;18;0,24;6;0,08;0;0;0;0;3;0,0385;239;126;0,5272;1;0,0042;30;0,1255;82;0,3431;13;6;0,4615;5;0,3846;0;0;1;0,0769;1;0,0769
65;games;0;Original Study;Java;megamek-0.35.18;1283;1197;0,933;0;0;1197;1;0;0;0;0;0;0;4;0,0031;37;0,0288;213;176;0,8263;4;0,0188;10;0,0469;23;0,108;10;7;0,7;0;0;0;0;3;0,3;0;0
66;tool/other;0;Original Study;Java;mvnforum-1.2.2-ga;18;18;1;11;0,6111;12;0,6667;6;0,3333;0;0;0;0;0;0;0;0;45;41;0,9111;0;0;2;0,0444;2;0,0444;0;0;?;0;?;0;?;0;?;0;?
67;middleware;0;Original Study;Java;myfaces_core-2.0.2;589;570;0,9677;144;0,2445;290;0,5088;215;0,3772;65;0,114;2;0,0034;6;0,0102;3;0,0051;476;183;0,3845;30;0,063;26;0,0546;237;0,4979;27;23;0,8519;4;0,1481;0;0;0;0;0;0
68;IDE;0;Original Study;Java;nakedobjects-4.0.0;1307;1284;0,9824;238;0,1821;884;0,6885;358;0,2788;42;0,0327;12;0,0092;1;0,0008;10;0,0077;732;549;0,75;30;0,041;79;0,1079;74;0,1011;349;232;0,6648;95;0,2722;6;0,0172;2;0,0057;14;0,0401
69;parsers/generators/make;0;Original Study;Java;nekohtml-1.9.14;10;10;1;6;0,6;2;0,2;8;0,8;0;0;0;0;0;0;0;0;8;8;1;0;0;0;0;0;0;0;0;?;0;?;0;?;0;?;0;?
70;middleware;0;Original Study;Java;openjms-0.7.7-beta-1;840;839;0,9988;229;0,2726;694;0,8272;143;0,1704;2;0,0024;0;0;0;0;0;0;269;190;0,7063;32;0,119;30;0,1115;17;0,0632;13;7;0,5385;5;0,3846;0;0;1;0,0769;0;0
71;middleware;0;Original Study;Java;oscache-2.4.1;19;17;0,8947;6;0,3158;7;0,4118;10;0,5882;0;0;2;0,1053;0;0;0;0;12;5;0,4167;7;0,5833;0;0;0;0;4;4;1;0;0;0;0;0;0;0;0
72;middleware;0;Original Study;Java;picocontainer-2.10.2;89;89;1;47;0,5281;82;0,9213;7;0,0787;0;0;0;0;0;0;0;0;94;84;0,8936;1;0,0106;8;0,0851;1;0,0106;9;9;1;0;0;0;0;0;0;0;0
73;testing;0;Original Study;Java;pmd-4.2.5;481;459;0,9543;137;0,2848;349;0,7603;39;0,085;71;0,1547;2;0,0042;0;0;9;0,0187;131;99;0,7557;9;0,0687;7;0,0534;16;0,1221;3;2;0,6667;0;0;0;0;1;0,3333;0;0
74;tool/other;0;Original Study;Java;poi-3.6;762;757;0,9934;408;0,5354;582;0,7688;167;0,2206;8;0,0106;4;0,0052;0;0;1;0,0013;289;207;0,7163;26;0,09;16;0,0554;40;0,1384;30;9;0,3;6;0,2;1;0,0333;1;0,0333;13;0,4333
75;tool/other;0;Original Study;Java;pooka-3.0-080505;118;112;0,9492;45;0,3814;81;0,7232;17;0,1518;14;0,125;0;0;0;0;6;0,0508;113;87;0,7699;9;0,0796;14;0,1239;3;0,0265;13;4;0,3077;9;0,6923;0;0;0;0;0;0
76;tool/other;0;Original Study;Java;proguard-4.5.1;288;286;0,9931;174;0,6042;128;0,4476;157;0,549;1;0,0035;0;0;0;0;1;0,0035;581;516;0,8881;0;0;64;0,1102;1;0,0017;4;4;1;0;0;0;0;0;0;0;0
77;middleware;0;Original Study;Java;quickserver-1.4.7;12;12;1;4;0,3333;10;0,8333;2;0,1667;0;0;0;0;0;0;0;0;16;7;0,4375;2;0,125;0;0;7;0,4375;0;0;?;0;?;0;?;0;?;0;?
78;testing;0;Original Study;Java;quilt-0.6-a-5;19;18;0,9474;8;0,4211;12;0,6667;4;0,2222;2;0,1111;0;0;0;0;1;0,0526;16;8;0,5;7;0,4375;0;0;1;0,0625;0;0;?;0;?;0;?;0;?;0;?
79;tool/other;0;Original Study;Java;roller-4.0.1;139;136;0,9784;47;0,3381;57;0,4191;78;0,5735;1;0,0074;0;0;0;0;2;0,0144;91;28;0,3077;0;0;7;0,0769;56;0,6154;4;1;0,25;3;0,75;0;0;0;0;0;0
80;tool/other;0;Original Study;Java;rssowl-2.0.5;251;251;1;42;0,1673;139;0,5538;106;0,4223;6;0,0239;0;0;0;0;0;0;176;119;0,6761;0;0;20;0,1136;37;0,2102;71;66;0,9296;5;0,0704;0;0;0;0;0;0
81;parsers/generators/make;0;Original Study;Java;sablecc-3.1;174;174;1;26;0,1494;118;0,6782;56;0,3218;0;0;0;0;0;0;0;0;33;32;0,9697;0;0;1;0,0303;0;0;1;1;1;0;0;0;0;0;0;0;0
82;middleware;0;Original Study;Java;springframework-1.2.7;432;415;0,9606;72;0,1667;162;0,3904;210;0,506;43;0,1036;1;0,0023;1;0,0023;3;0,0069;647;325;0,5023;44;0,068;198;0,306;80;0,1236;37;32;0,8649;4;0,1081;0;0;0;0;1;0,027
83;database;0;Original Study;Java;squirrel_sql-3.1.2;426;391;0,9178;74;0,1737;316;0,8082;49;0,1253;26;0,0665;0;0;0;0;2;0,0047;438;236;0,5388;34;0,0776;78;0,1781;90;0,2055;43;14;0,3256;13;0,3023;13;0,3023;0;0;3;0,0698
84;middleware;0;Original Study;Java;struts-2.2.1;536;530;0,9888;198;0,3694;231;0,4358;283;0,534;16;0,0302;1;0,0019;0;0;3;0,0056;149;36;0,2416;34;0,2282;3;0,0201;76;0,5101;3;2;0,6667;1;0,3333;0;0;0;0;0;0
85;3D/graphics/media;0;Original Study;Java;sunflow-0.07.2;16;16;1;11;0,6875;11;0,6875;5;0,3125;0;0;0;0;0;0;0;0;109;99;0,9083;0;0;10;0,0917;0;0;8;5;0,625;3;0,375;0;0;0;0;0;0
86;middleware;0;Original Study;Java;tapestry-5.1.0.5;128;124;0,9688;25;0,1953;100;0,8065;23;0,1855;1;0,0081;0;0;0;0;2;0,0156;726;520;0,7163;5;0,0069;77;0,1061;124;0,1708;51;39;0,7647;12;0,2353;0;0;0;0;0;0
87;middleware;0;Original Study;Java;tomcat-7.0.2;554;535;0,9657;193;0,3484;444;0,8299;61;0,114;30;0,0561;0;0;4;0,0072;3;0,0054;367;284;0,7738;24;0,0654;23;0,0627;36;0,0981;44;28;0,6364;8;0,1818;2;0,0455;1;0,0227;5;0,1136
88;SDK;0;Original Study;Java;trove-2.1.0;126;78;0,619;60;0,4762;69;0,8846;2;0,0256;7;0,0897;48;0,381;0;0;0;0;269;267;0,9926;0;0;1;0,0037;1;0,0037;0;0;?;0;?;0;?;0;?;0;?
89;diagram generator/data visualization;0;Original Study;Java;velocity-1.6.4;93;93;1;56;0,6022;68;0,7312;24;0,2581;1;0,0108;0;0;0;0;0;0;62;33;0,5323;9;0,1452;7;0,1129;13;0,2097;11;9;0,8182;2;0,1818;0;0;0;0;0;0
90;tool/other;0;Original Study;Java;webmail-0.7.10;24;20;0,8333;2;0,0833;15;0,75;5;0,25;0;0;0;0;0;0;0;0;12;11;0,9167;0;0;0;0;1;0,0833;2;1;0,5;1;0,5;0;0;0;0;0;0
91;tool/other;0;Original Study;Java;weka-3.7.2;516;465;0,9012;279;0,5407;401;0,8624;57;0,1226;7;0,0151;0;0;1;0,0019;0;0;1047;577;0,5511;254;0,2426;169;0,1614;47;0,0449;10;8;0,8;1;0,1;1;0,1;0;0;0;0
92;parsers/generators/make;0;Original Study;Java;xalan-2.7.1;534;518;0,97;273;0,5112;477;0,9208;36;0,0695;5;0,0097;0;0;1;0,0019;2;0,0037;103;80;0,7767;9;0,0874;1;0,0097;13;0,1262;12;7;0,5833;4;0,3333;0;0;0;0;1;0,0833
93;parsers/generators/make;0;Original Study;Java;xerces-2.10.0;368;364;0,9891;99;0,269;318;0,8736;44;0,1209;2;0,0055;1;0,0027;0;0;1;0,0027;314;253;0,8057;20;0,0637;10;0,0318;31;0,0987;142;119;0,838;11;0,0775;0;0;2;0,0141;10;0,0704
