Field guide:
#;alphabetical numbering per study
Domain;Categorization of the system
PVar;Proportion of 'var' keyword usage
Type;Replication study or data from original study
Language;C# or Java
Name;System name
Remaining fields;See https://www.cs.auckland.ac.nz/~ewan/qualitas/studies/inheritance/docs.html#Metrics
#;Domain;Pvar;Type;Language;Name;nExplicitCC;nCCUsed;pCCUsed;nCCDC;pCCDC;nCCSubtype;pCCSubtype;nCCExreuseNoSubtype;pCCExreuseNoSubtype;nCCUsedOnlyInRe;pCCUsedOnlyInRe;nCCUnexplSuper;pCCUnexplSuper;nCCUnexplCategory;pCCUnexplCategory;nCCUnknown;pCCUnknown;nExplicitCI;nOnlyCISubtype;pOnlyCISubtype;nExplainedCI;pExplainedCI;nCategoryExplCI;pCategoryExplCI;nUnexplainedCI;pUnexplainedCI;nExplicitII;nIISubtype;pIISubtype;nOnlyIIReuse;pOnlyIIReuse;nExplainedII;pExplainedII;nCategoryExplII;pCategoryExplII;nUnexplainedII;pUnexplainedII
29;testing;0,340910779;Replication Study;C#;Gallio;894;624;0,697986;273;0,305369;395;0,633012;32;0,051282;197;0,315705;6;0,006711;29;0,032438;154;0,172259;487;224;0,459958;56;0,114989;49;0,100616;158;0,324435;35;22;0,628571;5;0,142857;0;0;1;0,028571;7;0,2
30;testing;0,042838457;Replication Study;C#;gendarme;621;347;0,558776;32;0,051529;42;0,121037;9;0,025936;296;0,853025;0;0;161;0,259259;62;0,099838;276;11;0,039855;7;0,025362;118;0,427536;140;0,507246;11;3;0,272727;0;0;4;0,363636;0;0;4;0,363636
31;tool/other;0,414059241;Replication Study;C#;GitExtensions.VS2013;224;212;0,946428;43;0,191964;160;0,754716;4;0,018867;48;0,226415;1;0,004464;4;0,017857;0;0;66;40;0,60606;2;0,030303;5;0,075757;19;0,287878;6;3;0,5;0;0;0;0;2;0,333333;1;0,166666
32;middleware;0,075641026;Replication Study;C#;GMap.NET vs11;193;185;0,958549;33;0,170984;109;0,589189;8;0,043243;68;0,367567;0;0;0;0;1;0,005181;195;128;0,65641;17;0,087179;36;0,184615;14;0,071794;14;9;0,642857;0;0;0;0;4;0,285714;1;0,071428
33;SDK;0;Replication Study;C#;ikvm9;409;334;0,816625;135;0,330073;308;0,922155;15;0,04491;11;0,032934;58;0,141809;0;0;3;0,007334;39;15;0,384615;0;0;0;0;24;0,615384;1;0;0;0;0;0;0;0;0;1;1
34;tool/other;0,334466309;Replication Study;C#;ILSpy;1357;1245;0,917464;377;0,277818;1156;0,928514;10;0,008032;79;0,063453;2;0,001473;8;0,005895;68;0,05011;565;321;0,568141;6;0,010619;72;0,127433;166;0,293805;57;35;0,614035;12;0,210526;1;0,017543;7;0,122807;2;0,035087
35;tool/other;0,010661323;Replication Study;C#;Lucene.Net;1808;1725;0,954092;447;0,247234;1290;0,747826;18;0,010434;417;0,241739;34;0,018805;18;0,009955;10;0,00553;134;97;0,72388;2;0,014925;10;0,074626;25;0,186567;26;7;0,26923;0;0;17;0,653846;0;0;2;0,076923
36;middleware;0,46483705;Replication Study;C#;MassTransit;423;258;0,609929;63;0,148936;50;0,193798;29;0,112403;179;0,693798;16;0,037825;2;0,004728;109;0,257683;652;311;0,476993;21;0,032208;101;0,154907;219;0,335889;144;39;0,270833;20;0,138888;9;0,0625;8;0,055555;68;0,472222
37;SDK;0,793735454;Replication Study;C#;MathNet.Numerics.All;223;180;0,807174;86;0,38565;133;0,738888;7;0,038888;40;0,222222;10;0,044843;0;0;16;0,071748;96;50;0,520833;0;0;22;0,229166;24;0,25;4;0;0;3;0,75;0;0;0;0;1;0,25
38;SDK;0,675049202;Replication Study;C#;Microsoft.AspNet.SignalR;197;109;0,553299;64;0,324873;46;0,422018;3;0,027522;60;0,550458;1;0,005076;42;0,213197;19;0,096446;95;57;0,6;4;0,042105;8;0,08421;26;0,273684;3;1;0,333333;2;0,666666;0;0;0;0;0;0
39;tool/other;0,0078125;Replication Study;C#;Migrator.NET;43;25;0,581395;7;0,16279;15;0,6;0;0;10;0,4;0;0;0;0;18;0,418604;18;13;0,722222;1;0,055555;0;0;4;0,222222;2;1;0,5;1;0,5;0;0;0;0;0;0
40;middleware;0,273738872;Replication Study;C#;MindTouchDeki;444;129;0,29054;34;0,076576;114;0,88372;10;0,077519;5;0,038759;274;0,617117;3;0,006756;14;0,031531;72;46;0,638888;9;0,125;1;0,013888;16;0,222222;2;0;0;0;0;2;1;0;0;0;0
41;middleware;0,463955638;Replication Study;C#;MindTouchDream;92;70;0,760869;5;0,054347;44;0,628571;2;0,028571;24;0,342857;5;0,054347;0;0;1;0,010869;98;62;0,632653;15;0,153061;11;0,112244;10;0,10204;0;0;NULL;0;NULL;0;NULL;0;NULL;0;NULL
42;parsers/generators/make;0,382084483;Replication Study;C#;MonoCsharp;439;434;0,98861;190;0,432801;405;0,933179;2;0,004608;27;0,062211;4;0,009111;0;0;0;0;99;76;0,767676;1;0,010101;20;0,20202;2;0,020202;8;5;0,625;2;0,25;0;0;1;0,125;0;0
43;IDE;0,243572953;Replication Study;C#;MonoDevelop;1779;1251;0,703204;678;0,381112;888;0,709832;54;0,043165;309;0,247002;34;0,019111;63;0,035413;125;0,070264;793;393;0,495586;55;0,069356;80;0,100882;265;0,334174;113;69;0,610619;4;0,035398;0;0;13;0,115044;27;0,238938
44;testing;0,796954315;Replication Study;C#;Moq;15;12;0,8;1;0,066666;8;0,666666;3;0,25;1;0,083333;0;0;0;0;3;0,2;42;25;0,595238;1;0,023809;7;0,166666;9;0,214285;53;6;0,113207;2;0,037735;0;0;8;0,150943;37;0,698113
45;SDK;0,662251656;Replication Study;C#;MVCContrib;99;82;0,828282;14;0,141414;32;0,390243;12;0,146341;38;0,463414;4;0,040404;0;0;7;0,070707;76;45;0,592105;7;0,092105;4;0,052631;20;0,263157;12;4;0,333333;1;0,083333;3;0,25;3;0,25;1;0,083333
46;tool/other;0,508108627;Replication Study;C#;n2cms;1290;1031;0,799224;182;0,141085;587;0,56935;35;0,033947;409;0,396702;15;0,011627;40;0,031007;107;0,082945;643;231;0,359253;85;0,132192;147;0,228615;180;0,279937;62;14;0,225806;7;0,112903;14;0,225806;11;0,177419;16;0,258064
47;SDK;0,835;Replication Study;C#;Nancy;237;202;0,85232;30;0,126582;152;0,752475;5;0,024752;45;0,222772;11;0,046413;3;0,012658;12;0,050632;203;83;0,408866;5;0,02463;31;0,152709;84;0,413793;9;0;0;0;0;0;0;1;0,111111;8;0,888888
48;parsers/generators/make;0;Replication Study;C#;NAnt;324;281;0,867283;117;0,361111;174;0,619217;4;0,014234;103;0,366548;31;0,095679;2;0,006172;6;0,018518;25;13;0,52;0;0;2;0,08;10;0,4;3;3;1;0;0;0;0;0;0;0;0
49;SDK;0,069089937;Replication Study;C#;Newtonsoft.Json;288;173;0,600694;35;0,121527;113;0,653179;6;0,034682;54;0,312138;2;0,006944;27;0,09375;78;0,270833;50;29;0,58;2;0,04;6;0,12;13;0,26;4;4;1;0;0;0;0;0;0;0;0
50;SDK;0,93866577;Replication Study;C#;NGenerics;330;212;0,642424;24;0,072727;46;0,216981;1;0,004716;165;0,778301;0;0;0;0;117;0,354545;32;21;0,65625;1;0,03125;5;0,15625;5;0,15625;4;2;0,5;0;0;1;0,25;1;0,25;0;0
