fromType;toType;fromMethod;toMethod;calledFrom
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestApprovalsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Void InvalidateCustomActions();Void InvalidateCustomActions();InvalidateCommands
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestApprovalsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnSaveCompletedSuccessful();Task OnSaveCompletedSuccessful();CallSaveCompletedSuccessful
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestApprovalsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnFinalizeRefresh();Task OnFinalizeRefresh();CallFinalizeRefresh
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestApprovalsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/CrudViewModelBase[3];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestBatchesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureRelatedData(RelatedDataConfiguration);Void ConfigureRelatedData(RelatedDataConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestBatchesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void ConfigureMultiEditProperties(IMultiEditConfiguration);Void ConfigureMultiEditProperties(IMultiEditConfiguration);(field initializer)
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestBatchesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Void InvalidateCustomActions();Void InvalidateCustomActions();InvalidateCommands
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestBatchesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnSaveCompletedSuccessful();Task OnSaveCompletedSuccessful();CallSaveCompletedSuccessful
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/TestBatchesViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/ProjectSimpleCrudViewModel[2];Task OnFinalizeRefresh();Task OnFinalizeRefresh();CallFinalizeRefresh
cs+class://SifGroup/QualityManagement/AsBuilt/ViewModel/GlobalSettingsViewModel;cs+class://SifGroup/QualityManagement/Core/ViewModel/Crud/SimpleCrudViewModel[2];Task OnRefreshCompleted();Task OnRefreshCompleted();CallRefreshCompleted
