Direct?;From;To;Type;Member;FromMember
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;MethodCall;Value;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;MethodCall;Value;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;MethodCall;ValueMin;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
True;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/SimulationShapeCoefficient;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/Coefficients/Coefficient;MethodCall;ValueMax;cs+class://Sbs/PricingTool/Tests/Simulation/CostUp/CoefficientsTest/TestShapeCoefficients
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostOverride/CostOverrideViewModel/LoadOriginalCosts
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/CreateNewVersion
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/Duplicate
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;DateModified;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/Save
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;SimulationId;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/LoadItems
False;cs+class://Qnh/Sbs/PricingTool/Common/Model/CostUpSimulation/CostUpSimulation;cs+class://Qnh/Sbs/PricingTool/Common/Model/Simulation/ItemSpecificSimulation;MethodCall;Description;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel/InvalidateSimulation
