direct?;source;from;to;from declaration
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterReplicationController;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;ExecuteActualRequest in Raven.Database.Counters.Controllers.RavenCountersApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterStorageController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterStorageController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteAsync in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterStorageController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;ExecuteActualRequest in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterStorageController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetEmptyMessage in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterStorageController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetMessageWithObject in Raven.Database.Server.Controllers.RavenDbApiController
True;ThisChangingType;cs+class://Raven/Database/Counters/Controllers/CounterStorageController;cs+class://Raven/Database/Server/Controllers/RavenDbApiController;GetMessageWithString in Raven.Database.Server.Controllers.RavenDbApiController
True;Parameter;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;ExecuteAsync in Raven.Database.Counters.Controllers.RavenCountersApiController
True;Parameter;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;ExecuteAsync in Raven.Database.Counters.Controllers.RavenCountersApiController
True;Parameter;cs+class://Raven/Database/Counters/Controllers/RavenCountersApiController;cs+class://Raven/Database/Server/Controllers/RavenBaseApiController;ExecuteActualRequest in Raven.Database.Counters.Controllers.RavenCountersApiController
True;Assignment;cs+class://Raven/Database/Embedded/ResponseStream;cs+class://System/IO/Stream;RequestState in Raven.Database.Embedded.OwinClientHandler.RequestState
True;Parameter;cs+class://Raven/Database/Embedded/ResponseStream;cs+class://System/IO/Stream;GenerateResponse in Raven.Database.Embedded.OwinClientHandler.RequestState
True;Return;cs+class://Raven/Database/Impl/DTC/DtcNotSupportedTransactionalState;cs+class://Raven/Database/Impl/DTC/InFlightTransactionalState;GetInFlightTransactionalState in Raven.Storage.Voron.TransactionalStorage
