From;To;Source
cs+class://Mono/Cecil/Cil/VariableDefinition;cs+class://Mono/Cecil/Cil/VariableReference;(not implemented)
cs+class://Mono/Cecil/Metadata/BlobHeap;cs+class://Mono/Cecil/Metadata/Heap;(not implemented)
cs+class://Mono/Cecil/Metadata/TableHeapBuffer;cs+class://Mono/Cecil/Metadata/HeapBuffer;(not implemented)
cs+class://Mono/Cecil/Metadata/ResourceBuffer;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/Metadata/DataBuffer;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/Metadata/HeapBuffer;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/Metadata/StringHeapBuffer;cs+class://Mono/Cecil/Metadata/HeapBuffer;(not implemented)
cs+class://Mono/Cecil/Metadata/BlobHeapBuffer;cs+class://Mono/Cecil/Metadata/HeapBuffer;(not implemented)
cs+class://Mono/Cecil/Metadata/GuidHeap;cs+class://Mono/Cecil/Metadata/Heap;(not implemented)
cs+class://Mono/Cecil/Metadata/StringHeap;cs+class://Mono/Cecil/Metadata/Heap;(not implemented)
cs+class://Mono/Cecil/Metadata/TableHeap;cs+class://Mono/Cecil/Metadata/Heap;(not implemented)
cs+class://Mono/Cecil/Metadata/UserStringHeap;cs+class://Mono/Cecil/Metadata/StringHeap;(not implemented)
cs+class://Mono/Cecil/PE/BinaryStreamReader;cs+class://System/IO/BinaryReader;(not implemented)
cs+class://Mono/Cecil/PE/BinaryStreamWriter;cs+class://System/IO/BinaryWriter;(not implemented)
cs+class://Mono/Cecil/PE/ImageReader;cs+class://Mono/Cecil/PE/BinaryStreamReader;(not implemented)
cs+class://Mono/Cecil/PE/ImageWriter;cs+class://Mono/Cecil/PE/BinaryStreamWriter;(not implemented)
cs+class://Mono/Cecil/ArrayType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/AssemblyLinkedResource;cs+class://Mono/Cecil/Resource;(not implemented)
cs+class://Mono/Cecil/AssemblyNameDefinition;cs+class://Mono/Cecil/AssemblyNameReference;(not implemented)
cs+class://Mono/Cecil/ImmediateModuleReader;cs+class://Mono/Cecil/ModuleReader;(not implemented)
cs+class://Mono/Cecil/DeferredModuleReader;cs+class://Mono/Cecil/ModuleReader;(not implemented)
cs+class://Mono/Cecil/MetadataReader;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/SignatureReader;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/SignatureWriter;cs+class://Mono/Cecil/PE/ByteBuffer;(not implemented)
cs+class://Mono/Cecil/AssemblyResolutionException;cs+class://System/IO/FileNotFoundException;(not implemented)
cs+class://Mono/Cecil/FunctionPointerType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/GenericInstanceMethod;cs+class://Mono/Cecil/MethodSpecification;(not implemented)
cs+class://Mono/Cecil/GenericInstanceType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/GenericParameter;cs+class://Mono/Cecil/TypeReference;(not implemented)
cs+class://Mono/Cecil/GenericParameterCollection;cs+class://Mono/Collections/Generic/Collection[1];(not implemented)
cs+class://Mono/Cecil/ArrayMarshalInfo;cs+class://Mono/Cecil/MarshalInfo;(not implemented)
cs+class://Mono/Cecil/CustomMarshalInfo;cs+class://Mono/Cecil/MarshalInfo;(not implemented)
cs+class://Mono/Cecil/SafeArrayMarshalInfo;cs+class://Mono/Cecil/MarshalInfo;(not implemented)
cs+class://Mono/Cecil/FixedArrayMarshalInfo;cs+class://Mono/Cecil/MarshalInfo;(not implemented)
cs+class://Mono/Cecil/FixedSysStringMarshalInfo;cs+class://Mono/Cecil/MarshalInfo;(not implemented)
cs+class://Mono/Cecil/ResolutionException;cs+class://System/Exception;(not implemented)
cs+class://Mono/Cecil/OptionalModifierType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/RequiredModifierType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/PinnedType;cs+class://Mono/Cecil/TypeSpecification;(not implemented)
cs+class://Mono/Cecil/ParameterDefinitionCollection;cs+class://Mono/Collections/Generic/Collection[1];(not implemented)
cs+class://Mono/Cecil/EmbeddedResource;cs+class://Mono/Cecil/Resource;(not implemented)
cs+class://Mono/Cecil/EventDefinition;cs+class://Mono/Cecil/EventReference;(not implemented)
cs+class://Mono/Cecil/EventReference;cs+class://Mono/Cecil/MemberReference;(not implemented)
cs+class://Mono/Cecil/FieldDefinition;cs+class://Mono/Cecil/FieldReference;(not implemented)
cs+class://Mono/Cecil/FieldReference;cs+class://Mono/Cecil/MemberReference;(not implemented)
cs+class://Mono/Cecil/LinkedResource;cs+class://Mono/Cecil/Resource;(not implemented)
cs+class://Mono/Cecil/MethodDefinition;cs+class://Mono/Cecil/MethodReference;(not implemented)
