fromType;toType;fromMethod;toMethod;calledFrom
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ProductRangeSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;IQueryable FilterQuery(IQueryable);IQueryable FilterQuery(IQueryable);LoadData
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ProductSeriesSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;Boolean ApplySelection(SelectionEventArgs);Boolean ApplySelection(SelectionEventArgs);OnSelectionChanged
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ProductSeriesSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;IQueryable FilterQuery(IQueryable);IQueryable FilterQuery(IQueryable);LoadData
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ShapeSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;Boolean ApplySelection(SelectionEventArgs);Boolean ApplySelection(SelectionEventArgs);OnSelectionChanged
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/ShapeSalesHistory;cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/Detail/SalesHistoryViewModelBase;IQueryable FilterQuery(IQueryable);IQueryable FilterQuery(IQueryable);LoadData
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/GlobalsWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Void OnItemsRefreshed();Void OnItemsRefreshed();LoadItemsCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/GlobalsWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Boolean IsModifiedOnViewModelPropertyChanged(String);Boolean IsModifiedOnViewModelPropertyChanged(String);EntityPropertyChanged
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/DiscountGroupsWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Void OnItemsRefreshed();Void OnItemsRefreshed();LoadItemsCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/DiscountGroupsWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Boolean IsModifiedOnViewModelPropertyChanged(String);Boolean IsModifiedOnViewModelPropertyChanged(String);EntityPropertyChanged
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeCoefficientsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];Void OnChangesSaved();Void OnChangesSaved();SaveCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeCoefficientValuesWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Void OnItemsRefreshed();Void OnItemsRefreshed();LoadItemsCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeCoefficientValuesWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Boolean IsModifiedOnViewModelPropertyChanged(String);Boolean IsModifiedOnViewModelPropertyChanged(String);EntityPropertyChanged
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeCoefficientValuesWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];IQueryable FilterModel(IQueryable);IQueryable FilterModel(IQueryable);GetItemsFromDb
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeDetailsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];Void OnItemsRefreshed();Void OnItemsRefreshed();LoadItemsCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ShapeDetailsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/SimpleConcreteCrudViewModel[1];IQueryable FilterModel(IQueryable);IQueryable FilterModel(IQueryable);GetItemsFromDb
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ProductSeriesWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Void OnItemsRefreshed();Void OnItemsRefreshed();LoadItemsCompleted
cs+class://Qnh/Sbs/PricingTool/MasterData/ViewModel/ProductSeriesWorkspaceViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Boolean IsModifiedOnViewModelPropertyChanged(String);Boolean IsModifiedOnViewModelPropertyChanged(String);EntityPropertyChanged
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportCostUpSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSimulationViewModelBase;ExportSpreadsheet CreateSpreadsheet(Int32);ExportSpreadsheet CreateSpreadsheet(Int32);(field initializer)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportCostUpSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSimulationViewModelBase;ExportSpreadsheet CreateSpreadsheet(Int32);ExportSpreadsheet CreateSpreadsheet(Int32);ReloadSpreadsheet
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationViewModelBase;Boolean CanSave();Boolean CanSave();(field initializer)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/CostUp/CostUpSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationViewModelBase;ExportSimulationViewModelBase CreateExportViewModel();ExportSimulationViewModelBase CreateExportViewModel();Export
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportPriceAnalysisSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSimulationViewModelBase;ExportSpreadsheet CreateSpreadsheet(Int32);ExportSpreadsheet CreateSpreadsheet(Int32);(field initializer)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportPriceAnalysisSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSimulationViewModelBase;ExportSpreadsheet CreateSpreadsheet(Int32);ExportSpreadsheet CreateSpreadsheet(Int32);ReloadSpreadsheet
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSellingPriceSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSimulationViewModelBase;ExportSpreadsheet CreateSpreadsheet(Int32);ExportSpreadsheet CreateSpreadsheet(Int32);(field initializer)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSellingPriceSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/ExportSimulationViewModelBase;ExportSpreadsheet CreateSpreadsheet(Int32);ExportSpreadsheet CreateSpreadsheet(Int32);ReloadSpreadsheet
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/MiddleNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/RootNode;Void OnModifierChanged();Void OnModifierChanged();InvalidateChildModifiers
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/MiddleNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/RootNode;Void SetModifierFromParent(Double);Void SetModifierFromParent(Double);NotifyChildren
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/MiddleNode;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/RootNode;Void OnModifierChanged();Void OnModifierChanged();NotifyChildren
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/ModifierNodeBase;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Void OnPropertyChanged(String);Void OnPropertyChanged(String);Set
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/Modifiers/ModifierNodeBase;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/BindableBase;Void OnPropertyChanged(String);Void OnPropertyChanged(String);OnPropertyChanged
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationViewModelBase;Boolean CanSave();Boolean CanSave();(field initializer)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/PriceAnalysis/PriceAnalysisViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationViewModelBase;ExportSimulationViewModelBase CreateExportViewModel();ExportSimulationViewModelBase CreateExportViewModel();Export
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/NewSimulation/NewSimulationWizardViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/WorkspaceViewModelBase;String ValidateProperty(String);String ValidateProperty(String);(field initializer)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SellingPrice/SellingPriceSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationViewModelBase;Boolean CanSave();Boolean CanSave();(field initializer)
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SellingPrice/SellingPriceSimulationViewModel;cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationViewModelBase;ExportSimulationViewModelBase CreateExportViewModel();ExportSimulationViewModelBase CreateExportViewModel();Export
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationListViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CompositeCrudViewModel[2];IQueryable FilterModel(IQueryable);IQueryable FilterModel(IQueryable);SetFromDatabase
cs+class://Qnh/Sbs/PricingTool/Simulation/ViewModel/SimulationListViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/CompositeCrudViewModel[2];IQueryable FilterModel(IQueryable);IQueryable FilterModel(IQueryable);GetItemsFromDb
cs+class://Qnh/Sbs/PricingTool/Administration/ViewModel/MarketsViewModel;cs+class://Qnh/Sbs/PricingTool/Common/ViewModel/ConcreteCrudViewModelBase[2];Void OnChangesSaved();Void OnChangesSaved();SaveCompleted
